Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-ADAMANTINA;n/d;4811;4114;n/d;n/d;8925
SP-ADOLFO;n/d;479;287;n/d;n/d;766
SP-AGUAI;n/d;3910;2246;n/d;n/d;6156
SP-AGUAS DA PRATA;n/d;584;353;n/d;n/d;937
SP-AGUAS DE LINDOIA;n/d;2692;1996;n/d;n/d;4688
SP-AGUAS DE SANTA BARBARA;n/d;894;661;n/d;n/d;1555
SP-AGUAS DE SAO PEDRO;n/d;632;675;n/d;n/d;1307
SP-AGUDOS;n/d;4601;3053;n/d;n/d;7654
SP-ALAMBARI;n/d;445;306;n/d;n/d;751
SP-ALFREDO MARCONDES;n/d;468;191;n/d;n/d;659
SP-ALTAIR;n/d;506;188;n/d;n/d;694
SP-ALTINOPOLIS;n/d;2115;1213;n/d;n/d;3328
SP-ALTO ALEGRE;n/d;329;321;n/d;n/d;650
SP-ALUMINIO;n/d;5920;1375;n/d;n/d;7295
SP-ALVARES FLORENCE;n/d;1000;290;n/d;n/d;1290
SP-ALVARES MACHADO;n/d;1833;1410;n/d;n/d;3243
SP-ALVARO DE CARVALHO;n/d;191;175;n/d;n/d;366
SP-ALVINLANDIA;n/d;235;131;n/d;n/d;366
SP-AMERICANA;n/d;45429;35830;n/d;n/d;81259
SP-AMERICO BRASILIENSE;n/d;6153;2315;n/d;n/d;8468
SP-AMERICO DE CAMPOS;n/d;301;211;n/d;n/d;512
SP-AMPARO;n/d;13996;10770;n/d;n/d;24766
SP-ANALANDIA;n/d;754;352;n/d;n/d;1106
SP-ANDRADINA;n/d;9025;5601;n/d;n/d;14626
SP-ANGATUBA;n/d;2921;1827;n/d;n/d;4748
SP-ANHEMBI;n/d;794;325;n/d;n/d;1119
SP-ANHUMAS;n/d;323;240;n/d;n/d;563
SP-APARECIDA;n/d;5228;4138;n/d;n/d;9366
SP-APARECIDA D OESTE;n/d;362;203;n/d;n/d;565
SP-APIAI;n/d;2907;1876;n/d;n/d;4783
SP-ARACARIGUAMA;n/d;5610;2244;n/d;n/d;7854
SP-ARACATUBA;n/d;28153;20608;n/d;n/d;48761
SP-ARACOIABA DA SERRA;n/d;3532;3254;n/d;n/d;6786
SP-ARAMINA;n/d;278;287;n/d;n/d;565
SP-ARANDU;n/d;924;519;n/d;n/d;1443
SP-ARAPEI;n/d;257;156;n/d;n/d;413
SP-ARARAQUARA;n/d;44895;32088;n/d;n/d;76983
SP-ARARAS;n/d;23741;14254;n/d;n/d;37995
SP-ARCO-IRIS;n/d;175;117;n/d;n/d;292
SP-AREALVA;n/d;904;502;n/d;n/d;1406
SP-AREIAS;n/d;338;176;n/d;n/d;514
SP-AREIOPOLIS;n/d;710;638;n/d;n/d;1348
SP-ARIRANHA;n/d;2958;802;n/d;n/d;3760
SP-ARTUR NOGUEIRA;n/d;4698;4646;n/d;n/d;9344
SP-ARUJA;n/d;13363;7665;n/d;n/d;21028
SP-ASPASIA;n/d;136;108;n/d;n/d;244
SP-ASSIS;n/d;13803;9258;n/d;n/d;23061
SP-ATIBAIA;n/d;21994;16326;n/d;n/d;38320
SP-AURIFLAMA;n/d;1425;1714;n/d;n/d;3139
SP-AVAI;n/d;521;488;n/d;n/d;1009
SP-AVANHANDAVA;n/d;1279;570;n/d;n/d;1849
SP-AVARE;n/d;11271;9142;n/d;n/d;20413
SP-BADY BASSITT;n/d;2259;1040;n/d;n/d;3299
SP-BALBINOS;n/d;178;168;n/d;n/d;346
SP-BALSAMO;n/d;1022;485;n/d;n/d;1507
SP-BANANAL;n/d;1585;522;n/d;n/d;2107
SP-BARAO DE ANTONINA;n/d;244;217;n/d;n/d;461
SP-BARBOSA;n/d;456;336;n/d;n/d;792
SP-BARIRI;n/d;6277;3587;n/d;n/d;9864
SP-BARRA BONITA;n/d;8777;4469;n/d;n/d;13246
SP-BARRA DO CHAPEU;n/d;346;192;n/d;n/d;538
SP-BARRA DO TURVO;n/d;257;292;n/d;n/d;549
SP-BARRETOS;n/d;18339;13410;n/d;n/d;31749
SP-BARRINHA;n/d;2150;1350;n/d;n/d;3500
SP-BARUERI;n/d;135336;115242;n/d;n/d;250578
SP-BASTOS;n/d;3531;2485;n/d;n/d;6016
SP-BATATAIS;n/d;9866;5638;n/d;n/d;15504
SP-BAURU;n/d;72258;51736;n/d;n/d;123994
SP-BEBEDOURO;n/d;17119;10370;n/d;n/d;27489
SP-BENTO DE ABREU;n/d;586;262;n/d;n/d;848
SP-BERNARDINO DE CAMPOS;n/d;1275;899;n/d;n/d;2174
SP-BERTIOGA;n/d;7133;4409;n/d;n/d;11542
SP-BILAC;n/d;908;649;n/d;n/d;1557
SP-BIRIGUI;n/d;18756;18489;n/d;n/d;37245
