Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-ADAMANTINA;n/d;4756;4556;n/d;n/d;9312
SP-ADOLFO;n/d;493;377;n/d;n/d;870
SP-AGUAI;n/d;4140;2472;n/d;n/d;6612
SP-AGUAS DA PRATA;n/d;579;380;n/d;n/d;959
SP-AGUAS DE LINDOIA;n/d;2565;2237;n/d;n/d;4802
SP-AGUAS DE SANTA BARBARA;n/d;959;575;n/d;n/d;1534
SP-AGUAS DE SAO PEDRO;n/d;714;748;n/d;n/d;1462
SP-AGUDOS;n/d;4916;3389;n/d;n/d;8305
SP-ALAMBARI;n/d;456;415;n/d;n/d;871
SP-ALFREDO MARCONDES;n/d;522;293;n/d;n/d;815
SP-ALTAIR;n/d;481;207;n/d;n/d;688
SP-ALTINOPOLIS;n/d;2446;1343;n/d;n/d;3789
SP-ALTO ALEGRE;n/d;349;402;n/d;n/d;751
SP-ALUMINIO;n/d;5479;1414;n/d;n/d;6893
SP-ALVARES FLORENCE;n/d;370;302;n/d;n/d;672
SP-ALVARES MACHADO;n/d;1924;1489;n/d;n/d;3413
SP-ALVARO DE CARVALHO;n/d;218;215;n/d;n/d;433
SP-ALVINLANDIA;n/d;227;143;n/d;n/d;370
SP-AMERICANA;n/d;44905;35853;n/d;n/d;80758
SP-AMERICO BRASILIENSE;n/d;6182;2511;n/d;n/d;8693
SP-AMERICO DE CAMPOS;n/d;298;315;n/d;n/d;613
SP-AMPARO;n/d;14798;11098;n/d;n/d;25896
SP-ANALANDIA;n/d;645;353;n/d;n/d;998
SP-ANDRADINA;n/d;8227;6426;n/d;n/d;14653
SP-ANGATUBA;n/d;3198;2002;n/d;n/d;5200
SP-ANHEMBI;n/d;592;296;n/d;n/d;888
SP-ANHUMAS;n/d;383;319;n/d;n/d;702
SP-APARECIDA;n/d;5933;5212;n/d;n/d;11145
SP-APARECIDA D OESTE;n/d;383;249;n/d;n/d;632
SP-APIAI;n/d;2936;2278;n/d;n/d;5214
SP-ARACARIGUAMA;n/d;5728;2903;n/d;n/d;8631
SP-ARACATUBA;n/d;32689;24414;n/d;n/d;57103
SP-ARACOIABA DA SERRA;n/d;2853;2188;n/d;n/d;5041
SP-ARAMINA;n/d;324;326;n/d;n/d;650
SP-ARANDU;n/d;834;486;n/d;n/d;1320
SP-ARAPEI;n/d;232;164;n/d;n/d;396
SP-ARARAQUARA;n/d;40451;36881;n/d;n/d;77332
SP-ARARAS;n/d;23722;15191;n/d;n/d;38913
SP-ARCO-IRIS;n/d;176;125;n/d;n/d;301
SP-AREALVA;n/d;1406;692;n/d;n/d;2098
SP-AREIAS;n/d;342;170;n/d;n/d;512
SP-AREIOPOLIS;n/d;555;644;n/d;n/d;1199
SP-ARIRANHA;n/d;3232;835;n/d;n/d;4067
SP-ARTUR NOGUEIRA;n/d;5086;5533;n/d;n/d;10619
SP-ARUJA;n/d;14744;8590;n/d;n/d;23334
SP-ASPASIA;n/d;130;113;n/d;n/d;243
SP-ASSIS;n/d;14211;10385;n/d;n/d;24596
SP-ATIBAIA;n/d;22402;17588;n/d;n/d;39990
SP-AURIFLAMA;n/d;1475;1821;n/d;n/d;3296
SP-AVAI;n/d;674;788;n/d;n/d;1462
SP-AVANHANDAVA;n/d;1175;635;n/d;n/d;1810
SP-AVARE;n/d;11401;9985;n/d;n/d;21386
SP-BADY BASSITT;n/d;2394;1195;n/d;n/d;3589
SP-BALBINOS;n/d;203;230;n/d;n/d;433
SP-BALSAMO;n/d;1007;454;n/d;n/d;1461
SP-BANANAL;n/d;1429;595;n/d;n/d;2024
SP-BARAO DE ANTONINA;n/d;301;268;n/d;n/d;569
SP-BARBOSA;n/d;465;533;n/d;n/d;998
SP-BARIRI;n/d;5904;3384;n/d;n/d;9288
SP-BARRA BONITA;n/d;8362;4493;n/d;n/d;12855
SP-BARRA DO CHAPEU;n/d;405;226;n/d;n/d;631
SP-BARRA DO TURVO;n/d;317;335;n/d;n/d;652
SP-BARRETOS;n/d;18349;15547;n/d;n/d;33896
SP-BARRINHA;n/d;2263;1552;n/d;n/d;3815
SP-BARUERI;n/d;140542;122426;n/d;n/d;262968
SP-BASTOS;n/d;3807;2832;n/d;n/d;6639
SP-BATATAIS;n/d;10333;6427;n/d;n/d;16760
SP-BAURU;n/d;74694;56111;n/d;n/d;130805
SP-BEBEDOURO;n/d;16445;10593;n/d;n/d;27038
SP-BENTO DE ABREU;n/d;611;209;n/d;n/d;820
SP-BERNARDINO DE CAMPOS;n/d;1313;1073;n/d;n/d;2386
SP-BERTIOGA;n/d;7629;4691;n/d;n/d;12320
SP-BILAC;n/d;953;607;n/d;n/d;1560
SP-BIRIGUI;n/d;18599;18985;n/d;n/d;37584
SP-BIRITIBA-MIRIM;n/d;2112;1823;n/d;n/d;3935
SP-BOA ESPERANCA DO SUL;n/d;3203;1756;n/d;n/d;4959
SP-BOCAINA;n/d;2233;1305;n/d;n/d;3538
SP-BOFETE;n/d;1012;664;n/d;n/d;1676
SP-BOITUVA;n/d;11949;7715;n/d;n/d;19664
SP-BOM JESUS DOS PERDOES;n/d;2619;1859;n/d;n/d;4478
SP-BOM SUCESSO DE ITARARE;n/d;371;173;n/d;n/d;544
SP-BORA;n/d;1271;284;n/d;n/d;1555
SP-BORACEIA;n/d;880;443;n/d;n/d;1323
SP-BORBOREMA;n/d;1540;1446;n/d;n/d;2986
SP-BOREBI;n/d;407;339;n/d;n/d;746
SP-BOTUCATU;n/d;24640;17047;n/d;n/d;41687
SP-BRAGANCA PAULISTA;n/d;22928;20258;n/d;n/d;43186
SP-BRAUNA;n/d;321;313;n/d;n/d;634
SP-BREJO ALEGRE;n/d;4962;507;n/d;n/d;5469
SP-BRODOWSKI;n/d;2491;2372;n/d;n/d;4863
SP-BROTAS;n/d;4142;2595;n/d;n/d;6737
SP-BURI;n/d;2678;1405;n/d;n/d;4083
SP-BURITAMA;n/d;2617;1554;n/d;n/d;4171
SP-BURITIZAL;n/d;1353;348;n/d;n/d;1701
SP-CABRALIA PAULISTA;n/d;587;440;n/d;n/d;1027
SP-CABREUVA;n/d;8983;5764;n/d;n/d;14747
SP-CACAPAVA;n/d;13945;8683;n/d;n/d;22628
SP-CACHOEIRA PAULISTA;n/d;3055;2637;n/d;n/d;5692
SP-CACONDE;n/d;1350;947;n/d;n/d;2297
SP-CAFELANDIA;n/d;2031;1605;n/d;n/d;3636
SP-CAIABU;n/d;208;216;n/d;n/d;424
SP-CAIEIRAS;n/d;15526;8030;n/d;n/d;23556
SP-CAIUA;n/d;343;221;n/d;n/d;564
SP-CAJAMAR;n/d;25741;18006;n/d;n/d;43747
SP-CAJATI;n/d;4145;1657;n/d;n/d;5802
SP-CAJOBI;n/d;681;660;n/d;n/d;1341
SP-CAJURU;n/d;2554;2259;n/d;n/d;4813
SP-CAMPINA DO MONTE ALEGRE;n/d;386;332;n/d;n/d;718
SP-CAMPINAS;n/d;234230;205634;n/d;n/d;439864
SP-CAMPO LIMPO PAULISTA;n/d;8195;4998;n/d;n/d;13193
SP-CAMPOS DO JORDAO;n/d;6545;6274;n/d;n/d;12819
SP-CAMPOS NOVOS PAULISTA;n/d;369;217;n/d;n/d;586
SP-CANANEIA;n/d;834;611;n/d;n/d;1445
SP-CANAS;n/d;1247;292;n/d;n/d;1539
SP-CANDIDO MOTA;n/d;3085;1846;n/d;n/d;4931
SP-CANDIDO RODRIGUES;n/d;359;330;n/d;n/d;689
SP-CANITAR;n/d;526;264;n/d;n/d;790
SP-CAPAO BONITO;n/d;4556;3102;n/d;n/d;7658
SP-CAPELA DO ALTO;n/d;1807;1348;n/d;n/d;3155
SP-CAPIVARI;n/d;8458;6414;n/d;n/d;14872
SP-CARAGUATATUBA;n/d;11285;11253;n/d;n/d;22538
SP-CARAPICUIBA;n/d;21916;16445;n/d;n/d;38361
SP-CARDOSO;n/d;808;694;n/d;n/d;1502
SP-CASA BRANCA;n/d;3893;2570;n/d;n/d;6463
SP-CASSIA DOS COQUEIROS;n/d;254;236;n/d;n/d;490
SP-CASTILHO;n/d;2162;1331;n/d;n/d;3493
SP-CATANDUVA;n/d;24576;16595;n/d;n/d;41171
SP-CATIGUA;n/d;580;381;n/d;n/d;961
SP-CEDRAL;n/d;1441;1123;n/d;n/d;2564
SP-CERQUEIRA CESAR;n/d;2928;1926;n/d;n/d;4854
SP-CERQUILHO;n/d;7473;5772;n/d;n/d;13245
SP-CESARIO LANGE;n/d;2037;1374;n/d;n/d;3411
SP-CHARQUEADA;n/d;1590;1298;n/d;n/d;2888
SP-CLEMENTINA;n/d;3309;678;n/d;n/d;3987
SP-COLINA;n/d;3417;1842;n/d;n/d;5259
SP-COLOMBIA;n/d;2913;1255;n/d;n/d;4168
SP-CONCHAL;n/d;3332;2776;n/d;n/d;6108
SP-CONCHAS;n/d;1957;1412;n/d;n/d;3369
