Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-ADAMANTINA;n/d;4011;2740;n/d;n/d;6751
SP-ADOLFO;n/d;497;226;n/d;n/d;723
SP-AGUAI;n/d;3146;1384;n/d;n/d;4530
SP-AGUAS DA PRATA;n/d;437;268;n/d;n/d;705
SP-AGUAS DE LINDOIA;n/d;2180;1477;n/d;n/d;3657
SP-AGUAS DE SANTA BARBARA;n/d;645;317;n/d;n/d;962
SP-AGUAS DE SAO PEDRO;n/d;574;428;n/d;n/d;1002
SP-AGUDOS;n/d;3700;1659;n/d;n/d;5359
SP-ALAMBARI;n/d;247;151;n/d;n/d;398
SP-ALFREDO MARCONDES;n/d;205;111;n/d;n/d;316
SP-ALTAIR;n/d;494;126;n/d;n/d;620
SP-ALTINOPOLIS;n/d;1917;811;n/d;n/d;2728
SP-ALTO ALEGRE;n/d;393;185;n/d;n/d;578
SP-ALUMINIO;n/d;5397;875;n/d;n/d;6272
SP-ALVARES FLORENCE;n/d;841;98;n/d;n/d;939
SP-ALVARES MACHADO;n/d;1243;689;n/d;n/d;1932
SP-ALVARO DE CARVALHO;n/d;920;167;n/d;n/d;1087
SP-ALVINLANDIA;n/d;214;90;n/d;n/d;304
SP-AMERICANA;n/d;34773;21919;n/d;n/d;56692
SP-AMERICO BRASILIENSE;n/d;3697;1509;n/d;n/d;5206
SP-AMERICO DE CAMPOS;n/d;345;215;n/d;n/d;560
SP-AMPARO;n/d;10006;6827;n/d;n/d;16833
SP-ANALANDIA;n/d;924;249;n/d;n/d;1173
SP-ANDRADINA;n/d;7563;3934;n/d;n/d;11497
SP-ANGATUBA;n/d;2225;974;n/d;n/d;3199
SP-ANHEMBI;n/d;446;130;n/d;n/d;576
SP-ANHUMAS;n/d;280;109;n/d;n/d;389
SP-APARECIDA;n/d;3486;2230;n/d;n/d;5716
SP-APARECIDA D OESTE;n/d;281;186;n/d;n/d;467
SP-APIAI;n/d;2030;1115;n/d;n/d;3145
SP-ARACARIGUAMA;n/d;3643;1327;n/d;n/d;4970
