Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-ADAMANTINA;n/d;4835;4210;n/d;n/d;9045
SP-ADOLFO;n/d;457;320;n/d;n/d;777
SP-AGUAI;n/d;3769;2338;n/d;n/d;6107
SP-AGUAS DA PRATA;n/d;605;343;n/d;n/d;948
SP-AGUAS DE LINDOIA;n/d;2592;2126;n/d;n/d;4718
SP-AGUAS DE SANTA BARBARA;n/d;779;557;n/d;n/d;1336
SP-AGUAS DE SAO PEDRO;n/d;566;650;n/d;n/d;1216
SP-AGUDOS;n/d;4973;3333;n/d;n/d;8306
SP-ALAMBARI;n/d;403;239;n/d;n/d;642
SP-ALFREDO MARCONDES;n/d;571;269;n/d;n/d;840
SP-ALTAIR;n/d;498;197;n/d;n/d;695
SP-ALTINOPOLIS;n/d;2376;1268;n/d;n/d;3644
SP-ALTO ALEGRE;n/d;336;347;n/d;n/d;683
SP-ALUMINIO;n/d;5676;1285;n/d;n/d;6961
SP-ALVARES FLORENCE;n/d;1026;318;n/d;n/d;1344
SP-ALVARES MACHADO;n/d;1771;1171;n/d;n/d;2942
SP-ALVARO DE CARVALHO;n/d;184;156;n/d;n/d;340
SP-ALVINLANDIA;n/d;251;146;n/d;n/d;397
SP-AMERICANA;n/d;44317;35611;n/d;n/d;79928
SP-AMERICO BRASILIENSE;n/d;6234;2406;n/d;n/d;8640
SP-AMERICO DE CAMPOS;n/d;364;228;n/d;n/d;592
SP-AMPARO;n/d;14150;11148;n/d;n/d;25298
SP-ANALANDIA;n/d;762;348;n/d;n/d;1110
SP-ANDRADINA;n/d;7917;5779;n/d;n/d;13696
SP-ANGATUBA;n/d;2841;1836;n/d;n/d;4677
SP-ANHEMBI;n/d;619;283;n/d;n/d;902
SP-ANHUMAS;n/d;275;232;n/d;n/d;507
SP-APARECIDA;n/d;5288;4336;n/d;n/d;9624
SP-APARECIDA D OESTE;n/d;313;229;n/d;n/d;542
SP-APIAI;n/d;2778;2011;n/d;n/d;4789
SP-ARACARIGUAMA;n/d;5571;2432;n/d;n/d;8003
SP-ARACATUBA;n/d;30373;21858;n/d;n/d;52231
SP-ARACOIABA DA SERRA;n/d;3030;1933;n/d;n/d;4963
SP-ARAMINA;n/d;293;297;n/d;n/d;590
SP-ARANDU;n/d;908;526;n/d;n/d;1434
SP-ARAPEI;n/d;250;158;n/d;n/d;408
SP-ARARAQUARA;n/d;41648;33341;n/d;n/d;74989
SP-ARARAS;n/d;23344;14521;n/d;n/d;37865
SP-ARCO-IRIS;n/d;143;105;n/d;n/d;248
SP-AREALVA;n/d;838;534;n/d;n/d;1372
SP-AREIAS;n/d;286;176;n/d;n/d;462
SP-AREIOPOLIS;n/d;963;716;n/d;n/d;1679
SP-ARIRANHA;n/d;3270;806;n/d;n/d;4076
SP-ARTUR NOGUEIRA;n/d;4705;4784;n/d;n/d;9489
SP-ARUJA;n/d;13212;7465;n/d;n/d;20677
SP-ASPASIA;n/d;135;111;n/d;n/d;246
SP-ASSIS;n/d;14671;9549;n/d;n/d;24220
SP-ATIBAIA;n/d;21734;16903;n/d;n/d;38637
SP-AURIFLAMA;n/d;1468;1826;n/d;n/d;3294
SP-AVAI;n/d;656;503;n/d;n/d;1159
SP-AVANHANDAVA;n/d;1255;607;n/d;n/d;1862
SP-AVARE;n/d;11684;9236;n/d;n/d;20920
SP-BADY BASSITT;n/d;2042;1195;n/d;n/d;3237
SP-BALBINOS;n/d;188;172;n/d;n/d;360
SP-BALSAMO;n/d;1089;464;n/d;n/d;1553
SP-BANANAL;n/d;1352;542;n/d;n/d;1894
SP-BARAO DE ANTONINA;n/d;252;249;n/d;n/d;501
SP-BARBOSA;n/d;413;410;n/d;n/d;823
SP-BARIRI;n/d;5855;3535;n/d;n/d;9390
SP-BARRA BONITA;n/d;8933;4429;n/d;n/d;13362
SP-BARRA DO CHAPEU;n/d;379;198;n/d;n/d;577
SP-BARRA DO TURVO;n/d;249;297;n/d;n/d;546
SP-BARRETOS;n/d;18684;14165;n/d;n/d;32849
SP-BARRINHA;n/d;2396;1407;n/d;n/d;3803
SP-BARUERI;n/d;132075;118152;n/d;n/d;250227
SP-BASTOS;n/d;3536;2541;n/d;n/d;6077
SP-BATATAIS;n/d;10071;6002;n/d;n/d;16073
SP-BAURU;n/d;71725;54268;n/d;n/d;125993
SP-BEBEDOURO;n/d;18564;11500;n/d;n/d;30064
SP-BENTO DE ABREU;n/d;554;232;n/d;n/d;786
SP-BERNARDINO DE CAMPOS;n/d;1290;913;n/d;n/d;2203
SP-BERTIOGA;n/d;7681;4519;n/d;n/d;12200
SP-BILAC;n/d;937;620;n/d;n/d;1557
SP-BIRIGUI;n/d;19307;19064;n/d;n/d;38371
SP-BIRITIBA-MIRIM;n/d;3130;1973;n/d;n/d;5103
SP-BOA ESPERANCA DO SUL;n/d;3339;1808;n/d;n/d;5147
SP-BOCAINA;n/d;2855;1489;n/d;n/d;4344
SP-BOFETE;n/d;977;690;n/d;n/d;1667
SP-BOITUVA;n/d;12013;6975;n/d;n/d;18988
SP-BOM JESUS DOS PERDOES;n/d;2419;1613;n/d;n/d;4032
SP-BOM SUCESSO DE ITARARE;n/d;323;147;n/d;n/d;470
SP-BORA;n/d;1399;288;n/d;n/d;1687
SP-BORACEIA;n/d;855;473;n/d;n/d;1328
SP-BORBOREMA;n/d;1521;1333;n/d;n/d;2854
SP-BOREBI;n/d;422;313;n/d;n/d;735
SP-BOTUCATU;n/d;23797;15464;n/d;n/d;39261
SP-BRAGANCA PAULISTA;n/d;22525;18785;n/d;n/d;41310
SP-BRAUNA;n/d;304;247;n/d;n/d;551
SP-BREJO ALEGRE;n/d;4766;603;n/d;n/d;5369
SP-BRODOWSKI;n/d;2078;1995;n/d;n/d;4073
SP-BROTAS;n/d;4781;2473;n/d;n/d;7254
SP-BURI;n/d;2312;1141;n/d;n/d;3453
SP-BURITAMA;n/d;1599;1354;n/d;n/d;2953
SP-BURITIZAL;n/d;1453;319;n/d;n/d;1772
SP-CABRALIA PAULISTA;n/d;593;420;n/d;n/d;1013
SP-CABREUVA;n/d;8902;5309;n/d;n/d;14211
SP-CACAPAVA;n/d;13300;7705;n/d;n/d;21005
SP-CACHOEIRA PAULISTA;n/d;2921;2525;n/d;n/d;5446
SP-CACONDE;n/d;1363;810;n/d;n/d;2173
SP-CAFELANDIA;n/d;2140;1422;n/d;n/d;3562
