Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-ADAMANTINA;n/d;5034;4682;n/d;n/d;9716
SP-ADOLFO;n/d;483;352;n/d;n/d;835
SP-AGUAI;n/d;4121;2455;n/d;n/d;6576
SP-AGUAS DA PRATA;n/d;546;416;n/d;n/d;962
SP-AGUAS DE LINDOIA;n/d;2455;2235;n/d;n/d;4690
SP-AGUAS DE SANTA BARBARA;n/d;885;515;n/d;n/d;1400
SP-AGUAS DE SAO PEDRO;n/d;658;688;n/d;n/d;1346
SP-AGUDOS;n/d;4879;3582;n/d;n/d;8461
SP-ALAMBARI;n/d;502;402;n/d;n/d;904
SP-ALFREDO MARCONDES;n/d;476;324;n/d;n/d;800
SP-ALTAIR;n/d;471;183;n/d;n/d;654
SP-ALTINOPOLIS;n/d;2703;1333;n/d;n/d;4036
SP-ALTO ALEGRE;n/d;307;234;n/d;n/d;541
SP-ALUMINIO;n/d;5121;1306;n/d;n/d;6427
SP-ALVARES FLORENCE;n/d;321;297;n/d;n/d;618
SP-ALVARES MACHADO;n/d;1967;1516;n/d;n/d;3483
SP-ALVARO DE CARVALHO;n/d;212;169;n/d;n/d;381
SP-ALVINLANDIA;n/d;215;148;n/d;n/d;363
SP-AMERICANA;n/d;40196;32694;n/d;n/d;72890
SP-AMERICO BRASILIENSE;n/d;6032;2550;n/d;n/d;8582
SP-AMERICO DE CAMPOS;n/d;271;303;n/d;n/d;574
SP-AMPARO;n/d;13415;10959;n/d;n/d;24374
SP-ANALANDIA;n/d;651;330;n/d;n/d;981
SP-ANDRADINA;n/d;8527;6140;n/d;n/d;14667
SP-ANGATUBA;n/d;3115;1915;n/d;n/d;5030
SP-ANHEMBI;n/d;521;267;n/d;n/d;788
SP-ANHUMAS;n/d;256;250;n/d;n/d;506
SP-APARECIDA;n/d;6045;5705;n/d;n/d;11750
SP-APARECIDA D OESTE;n/d;374;238;n/d;n/d;612
SP-APIAI;n/d;2658;2012;n/d;n/d;4670
SP-ARACARIGUAMA;n/d;6433;2961;n/d;n/d;9394
SP-ARACATUBA;n/d;30839;23188;n/d;n/d;54027
SP-ARACOIABA DA SERRA;n/d;2560;2120;n/d;n/d;4680
SP-ARAMINA;n/d;346;376;n/d;n/d;722
SP-ARANDU;n/d;761;493;n/d;n/d;1254
SP-ARAPEI;n/d;220;153;n/d;n/d;373
SP-ARARAQUARA;n/d;37259;36776;n/d;n/d;74035
SP-ARARAS;n/d;21790;14602;n/d;n/d;36392
SP-ARCO-IRIS;n/d;190;122;n/d;n/d;312
SP-AREALVA;n/d;803;532;n/d;n/d;1335
SP-AREIAS;n/d;355;186;n/d;n/d;541
SP-AREIOPOLIS;n/d;516;578;n/d;n/d;1094
SP-ARIRANHA;n/d;3164;813;n/d;n/d;3977
SP-ARTUR NOGUEIRA;n/d;4503;4902;n/d;n/d;9405
SP-ARUJA;n/d;13671;8536;n/d;n/d;22207
SP-ASPASIA;n/d;115;102;n/d;n/d;217
SP-ASSIS;n/d;12008;9571;n/d;n/d;21579
SP-ATIBAIA;n/d;20983;17888;n/d;n/d;38871
SP-AURIFLAMA;n/d;1247;1607;n/d;n/d;2854
SP-AVAI;n/d;542;421;n/d;n/d;963
SP-AVANHANDAVA;n/d;1325;629;n/d;n/d;1954
