Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-ADAMANTINA;n/d;5422;5023;n/d;n/d;10445
SP-ADOLFO;n/d;472;382;n/d;n/d;854
SP-AGUAI;n/d;4372;2612;n/d;n/d;6984
SP-AGUAS DA PRATA;n/d;550;433;n/d;n/d;983
SP-AGUAS DE LINDOIA;n/d;2522;2083;n/d;n/d;4605
SP-AGUAS DE SANTA BARBARA;n/d;965;560;n/d;n/d;1525
SP-AGUAS DE SAO PEDRO;n/d;633;683;n/d;n/d;1316
SP-AGUDOS;n/d;4987;3535;n/d;n/d;8522
SP-ALAMBARI;n/d;516;457;n/d;n/d;973
SP-ALFREDO MARCONDES;n/d;556;355;n/d;n/d;911
SP-ALTAIR;n/d;525;187;n/d;n/d;712
SP-ALTINOPOLIS;n/d;2465;1327;n/d;n/d;3792
SP-ALTO ALEGRE;n/d;284;209;n/d;n/d;493
SP-ALUMINIO;n/d;5091;1240;n/d;n/d;6331
SP-ALVARES FLORENCE;n/d;238;242;n/d;n/d;480
SP-ALVARES MACHADO;n/d;1988;1296;n/d;n/d;3284
SP-ALVARO DE CARVALHO;n/d;238;190;n/d;n/d;428
SP-ALVINLANDIA;n/d;235;143;n/d;n/d;378
SP-AMERICANA;n/d;39091;32460;n/d;n/d;71551
SP-AMERICO BRASILIENSE;n/d;6576;3066;n/d;n/d;9642
SP-AMERICO DE CAMPOS;n/d;255;301;n/d;n/d;556
SP-AMPARO;n/d;13300;10531;n/d;n/d;23831
SP-ANALANDIA;n/d;644;346;n/d;n/d;990
SP-ANDRADINA;n/d;8971;6584;n/d;n/d;15555
SP-ANGATUBA;n/d;3214;1848;n/d;n/d;5062
SP-ANHEMBI;n/d;587;285;n/d;n/d;872
SP-ANHUMAS;n/d;210;268;n/d;n/d;478
SP-APARECIDA;n/d;5955;5645;n/d;n/d;11600
SP-APARECIDA D OESTE;n/d;437;274;n/d;n/d;711
SP-APIAI;n/d;2635;1738;n/d;n/d;4373
SP-ARACARIGUAMA;n/d;6886;3146;n/d;n/d;10032
SP-ARACATUBA;n/d;29315;23097;n/d;n/d;52412
SP-ARACOIABA DA SERRA;n/d;2980;2331;n/d;n/d;5311
SP-ARAMINA;n/d;326;390;n/d;n/d;716
SP-ARANDU;n/d;926;439;n/d;n/d;1365
SP-ARAPEI;n/d;227;149;n/d;n/d;376
SP-ARARAQUARA;n/d;37979;35903;n/d;n/d;73882
SP-ARARAS;n/d;22528;15158;n/d;n/d;37686
SP-ARCO-IRIS;n/d;203;135;n/d;n/d;338
SP-AREALVA;n/d;878;630;n/d;n/d;1508
SP-AREIAS;n/d;369;173;n/d;n/d;542
SP-AREIOPOLIS;n/d;662;547;n/d;n/d;1209
SP-ARIRANHA;n/d;3002;759;n/d;n/d;3761
SP-ARTUR NOGUEIRA;n/d;4696;4785;n/d;n/d;9481
SP-ARUJA;n/d;14291;8723;n/d;n/d;23014
SP-ASPASIA;n/d;109;115;n/d;n/d;224
SP-ASSIS;n/d;11727;9840;n/d;n/d;21567
SP-ATIBAIA;n/d;20920;18323;n/d;n/d;39243
SP-AURIFLAMA;n/d;1219;1498;n/d;n/d;2717
SP-AVAI;n/d;696;479;n/d;n/d;1175
SP-AVANHANDAVA;n/d;1204;583;n/d;n/d;1787
SP-AVARE;n/d;11658;10276;n/d;n/d;21934
SP-BADY BASSITT;n/d;1627;1090;n/d;n/d;2717
SP-BALBINOS;n/d;179;206;n/d;n/d;385
SP-BALSAMO;n/d;955;376;n/d;n/d;1331
SP-BANANAL;n/d;1187;529;n/d;n/d;1716
SP-BARAO DE ANTONINA;n/d;300;307;n/d;n/d;607
SP-BARBOSA;n/d;355;354;n/d;n/d;709
SP-BARIRI;n/d;5264;3338;n/d;n/d;8602
SP-BARRA BONITA;n/d;7599;3837;n/d;n/d;11436
SP-BARRA DO CHAPEU;n/d;475;236;n/d;n/d;711
SP-BARRA DO TURVO;n/d;316;315;n/d;n/d;631
SP-BARRETOS;n/d;17280;14723;n/d;n/d;32003
SP-BARRINHA;n/d;2356;1508;n/d;n/d;3864
SP-BARUERI;n/d;130693;120944;n/d;n/d;251637
SP-BASTOS;n/d;4309;3221;n/d;n/d;7530
SP-BATATAIS;n/d;9204;6062;n/d;n/d;15266
