Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-ADAMANTINA;n/d;100321;84812;0;n/d;185133
SP-ADOLFO;n/d;10357;6852;0;n/d;17209
SP-AGUAI;n/d;82787;45817;0;n/d;128604
SP-AGUAS DA PRATA;n/d;11283;7750;0;n/d;19033
SP-AGUAS DE LINDOIA;n/d;52121;40791;0;n/d;92912
SP-AGUAS DE SANTA BARBARA;n/d;17158;10746;0;n/d;27904
SP-AGUAS DE SAO PEDRO;n/d;13277;12829;0;n/d;26106
SP-AGUDOS;n/d;96493;61396;0;n/d;157889
SP-ALAMBARI;n/d;8845;6279;0;n/d;15124
SP-ALFREDO MARCONDES;n/d;9319;5217;0;n/d;14536
SP-ALTAIR;n/d;10433;3712;0;n/d;14145
SP-ALTINOPOLIS;n/d;48992;24752;0;n/d;73744
SP-ALTO ALEGRE;n/d;6505;5140;0;n/d;11645
SP-ALUMINIO;n/d;116222;25742;0;n/d;141964
SP-ALVARES FLORENCE;n/d;12006;4738;0;n/d;16744
SP-ALVARES MACHADO;n/d;36623;23929;0;n/d;60552
SP-ALVARO DE CARVALHO;n/d;7259;3776;0;n/d;11035
SP-ALVINLANDIA;n/d;4805;2626;0;n/d;7431
SP-AMERICANA;n/d;858423;647546;0;n/d;1505969
SP-AMERICO BRASILIENSE;n/d;118182;48652;0;n/d;166834
SP-AMERICO DE CAMPOS;n/d;6368;5138;0;n/d;11506
SP-AMPARO;n/d;266651;200373;0;n/d;467024
SP-ANALANDIA;n/d;16768;7005;0;n/d;23773
SP-ANDRADINA;n/d;174746;114657;0;n/d;289403
SP-ANGATUBA;n/d;61796;34124;0;n/d;95920
SP-ANHEMBI;n/d;12172;5381;0;n/d;17553
SP-ANHUMAS;n/d;5961;4447;0;n/d;10408
SP-APARECIDA;n/d;104895;86899;0;n/d;191794
SP-APARECIDA D OESTE;n/d;7112;4641;0;n/d;11753
SP-APIAI;n/d;55748;34794;0;n/d;90542
SP-ARACARIGUAMA;n/d;109279;49629;0;n/d;158908
SP-ARACATUBA;n/d;564452;412646;0;n/d;977098
SP-ARACOIABA DA SERRA;n/d;56856;43438;0;n/d;100294
SP-ARAMINA;n/d;6467;6246;0;n/d;12713
SP-ARANDU;n/d;17329;8950;0;n/d;26279
SP-ARAPEI;n/d;5348;3273;0;n/d;8621
SP-ARARAQUARA;n/d;786759;622196;1;n/d;1408956
SP-ARARAS;n/d;446601;273679;0;n/d;720280
SP-ARCO-IRIS;n/d;3586;2226;0;n/d;5812
SP-AREALVA;n/d;18851;10800;0;n/d;29651
SP-AREIAS;n/d;7395;3664;0;n/d;11059
SP-AREIOPOLIS;n/d;13649;11460;0;n/d;25109
SP-ARIRANHA;n/d;56009;14887;0;n/d;70896
SP-ARTUR NOGUEIRA;n/d;95480;96935;0;n/d;192415
SP-ARUJA;n/d;266536;144939;0;n/d;411475
SP-ASPASIA;n/d;2681;2060;0;n/d;4741
SP-ASSIS;n/d;247888;182336;0;n/d;430224
SP-ATIBAIA;n/d;402023;318694;0;n/d;720717
SP-AURIFLAMA;n/d;27096;31987;0;n/d;59083
SP-AVAI;n/d;11917;8101;0;n/d;20018
SP-AVANHANDAVA;n/d;21628;11164;0;n/d;32792
SP-AVARE;n/d;219879;180674;0;n/d;400553
SP-BADY BASSITT;n/d;39209;22684;0;n/d;61893
SP-BALBINOS;n/d;3748;3525;0;n/d;7273
SP-BALSAMO;n/d;20143;8482;0;n/d;28625
SP-BANANAL;n/d;25531;10342;0;n/d;35873
SP-BARAO DE ANTONINA;n/d;5073;4637;0;n/d;9710
SP-BARBOSA;n/d;8513;6720;0;n/d;15233
SP-BARIRI;n/d;109423;62336;0;n/d;171759
SP-BARRA BONITA;n/d;171873;82598;0;n/d;254471
SP-BARRA DO CHAPEU;n/d;7263;3906;0;n/d;11169
SP-BARRA DO TURVO;n/d;6037;5567;0;n/d;11604
SP-BARRETOS;n/d;347650;274927;0;n/d;622577
SP-BARRINHA;n/d;44254;25752;0;n/d;70006
SP-BARUERI;n/d;2710493;2252600;0;n/d;4963093
SP-BASTOS;n/d;75800;55058;0;n/d;130858
SP-BATATAIS;n/d;190404;111379;0;n/d;301783
SP-BAURU;n/d;1327040;969621;1;n/d;2296662
SP-BEBEDOURO;n/d;331156;191225;0;n/d;522381
SP-BENTO DE ABREU;n/d;15147;4949;0;n/d;20096
SP-BERNARDINO DE CAMPOS;n/d;26665;19207;0;n/d;45872
SP-BERTIOGA;n/d;146370;85743;0;n/d;232113
SP-BILAC;n/d;18669;11631;0;n/d;30300
SP-BIRIGUI;n/d;357113;336747;0;n/d;693860
SP-BIRITIBA-MIRIM;n/d;43483;30660;0;n/d;74143
SP-BOA ESPERANCA DO SUL;n/d;44543;23965;0;n/d;68508
SP-BOCAINA;n/d;51572;24743;0;n/d;76315
SP-BOFETE;n/d;22012;11874;0;n/d;33886
SP-BOITUVA;n/d;244590;141080;0;n/d;385670
SP-BOM JESUS DOS PERDOES;n/d;57724;31874;0;n/d;89598
SP-BOM SUCESSO DE ITARARE;n/d;7472;3177;0;n/d;10649
SP-BORA;n/d;20582;3920;0;n/d;24502
SP-BORACEIA;n/d;17883;9070;0;n/d;26953
SP-BORBOREMA;n/d;32591;24064;0;n/d;56655
SP-BOREBI;n/d;7593;5598;0;n/d;13191
SP-BOTUCATU;n/d;471742;312500;0;n/d;784242
SP-BRAGANCA PAULISTA;n/d;438442;363733;0;n/d;802175
SP-BRAUNA;n/d;7740;4174;0;n/d;11914
SP-BREJO ALEGRE;n/d;28654;4659;0;n/d;33313
SP-BRODOWSKI;n/d;45966;40931;0;n/d;86897
SP-BROTAS;n/d;86942;47600;0;n/d;134542
SP-BURI;n/d;51889;24711;0;n/d;76600
SP-BURITAMA;n/d;37499;22930;0;n/d;60429
SP-BURITIZAL;n/d;26628;6014;0;n/d;32642
SP-CABRALIA PAULISTA;n/d;11755;6412;0;n/d;18167
SP-CABREUVA;n/d;161209;94690;0;n/d;255899
SP-CACAPAVA;n/d;252957;142011;0;n/d;394968
SP-CACHOEIRA PAULISTA;n/d;53355;45713;0;n/d;99068
SP-CACONDE;n/d;28361;17138;0;n/d;45499
SP-CAFELANDIA;n/d;42815;25560;0;n/d;68375
SP-CAIABU;n/d;3301;3988;0;n/d;7289
SP-CAIEIRAS;n/d;260726;132073;0;n/d;392799
SP-CAIUA;n/d;13228;4884;0;n/d;18112
SP-CAJAMAR;n/d;518819;365739;0;n/d;884558
SP-CAJATI;n/d;81841;31049;0;n/d;112890
SP-CAJOBI;n/d;17307;12692;0;n/d;29999
SP-CAJURU;n/d;51209;36949;0;n/d;88158
SP-CAMPINA DO MONTE ALEGRE;n/d;12339;9541;0;n/d;21880
SP-CAMPINAS;n/d;4279669;3515052;5;n/d;7794726
SP-CAMPO LIMPO PAULISTA;n/d;161602;86840;0;n/d;248442
SP-CAMPOS DO JORDAO;n/d;125149;114062;0;n/d;239211
SP-CAMPOS NOVOS PAULISTA;n/d;8287;4311;0;n/d;12598
SP-CANANEIA;n/d;16979;11688;0;n/d;28667
SP-CANAS;n/d;14217;4960;0;n/d;19177
SP-CANDIDO MOTA;n/d;62412;34858;0;n/d;97270
SP-CANDIDO RODRIGUES;n/d;6515;5667;0;n/d;12182
SP-CANITAR;n/d;11413;5658;0;n/d;17071
SP-CAPAO BONITO;n/d;95153;58550;0;n/d;153703
SP-CAPELA DO ALTO;n/d;38328;25284;0;n/d;63612
SP-CAPIVARI;n/d;162873;116619;0;n/d;279492
SP-CARAGUATATUBA;n/d;219036;195448;0;n/d;414484
SP-CARAPICUIBA;n/d;417432;325142;0;n/d;742574
SP-CARDOSO;n/d;15266;11490;0;n/d;26756
SP-CASA BRANCA;n/d;80864;47925;0;n/d;128789
SP-CASSIA DOS COQUEIROS;n/d;5260;4302;0;n/d;9562
SP-CASTILHO;n/d;39602;20772;0;n/d;60374
SP-CATANDUVA;n/d;424205;303092;0;n/d;727297
SP-CATIGUA;n/d;28617;8217;0;n/d;36834
SP-CEDRAL;n/d;30207;23952;0;n/d;54159
SP-CERQUEIRA CESAR;n/d;50674;30746;0;n/d;81420
SP-CERQUILHO;n/d;140099;94880;0;n/d;234979
SP-CESARIO LANGE;n/d;40091;28033;0;n/d;68124
SP-CHARQUEADA;n/d;30273;20282;0;n/d;50555
SP-CLEMENTINA;n/d;40145;10052;0;n/d;50197
SP-COLINA;n/d;69305;33585;0;n/d;102890
SP-COLOMBIA;n/d;54875;20557;0;n/d;75432
SP-CONCHAL;n/d;60375;48072;0;n/d;108447
SP-CONCHAS;n/d;42864;30728;0;n/d;73592
SP-CORDEIROPOLIS;n/d;125748;57585;0;n/d;183333
SP-COROADOS;n/d;14258;6173;0;n/d;20431
SP-CORONEL MACEDO;n/d;9085;4443;0;n/d;13528
SP-CORUMBATAI;n/d;15078;7189;0;n/d;22267
SP-COSMOPOLIS;n/d;114131;79109;0;n/d;193240
SP-COSMORAMA;n/d;26656;9250;0;n/d;35906
SP-COTIA;n/d;838403;597954;0;n/d;1436357
SP-CRAVINHOS;n/d;103508;59537;0;n/d;163045
SP-CRISTAIS PAULISTA;n/d;19726;9227;0;n/d;28953
SP-CRUZALIA;n/d;4153;3176;0;n/d;7329
SP-CRUZEIRO;n/d;233257;111802;0;n/d;345059
SP-CUBATAO;n/d;522653;191245;0;n/d;713898
SP-CUNHA;n/d;24082;14098;0;n/d;38180
SP-DESCALVADO;n/d;123406;65564;0;n/d;188970
SP-DIADEMA;n/d;1290869;717218;0;n/d;2008087
SP-DIRCE REIS;n/d;4486;1781;0;n/d;6267
SP-DIVINOLANDIA;n/d;17537;20908;0;n/d;38445
SP-DOBRADA;n/d;7733;6524;0;n/d;14257
SP-DOIS CORREGOS;n/d;67797;40267;0;n/d;108064
SP-DOLCINOPOLIS;n/d;3257;2770;0;n/d;6027
SP-DOURADO;n/d;26067;15681;0;n/d;41748
SP-DRACENA;n/d;122863;86175;0;n/d;209038
SP-DUARTINA;n/d;25825;19235;0;n/d;45060
SP-DUMONT;n/d;19820;14893;0;n/d;34713
SP-ECHAPORA;n/d;9902;5787;0;n/d;15689
SP-ELDORADO;n/d;27439;12391;0;n/d;39830
SP-ELIAS FAUSTO;n/d;63392;28184;0;n/d;91576
SP-ELISIARIO;n/d;6295;3307;0;n/d;9602
SP-EMBAUBA;n/d;5340;3540;0;n/d;8880
SP-EMBU DAS ARTES;n/d;548775;351698;0;n/d;900473
SP-EMBU-GUACU;n/d;99632;62074;0;n/d;161706
SP-EMILIANOPOLIS;n/d;3852;2996;0;n/d;6848
SP-ENGENHEIRO COELHO;n/d;45661;28067;0;n/d;73728
SP-ESPIRITO SANTO DO PINHAL;n/d;141280;104944;0;n/d;246224
SP-ESPIRITO SANTO DO TURVO;n/d;14234;7557;0;n/d;21791
SP-ESTRELA D OESTE;n/d;38392;22227;0;n/d;60619
SP-ESTRELA DO NORTE;n/d;3759;3808;0;n/d;7567
SP-EUCLIDES DA CUNHA PAULISTA;n/d;7128;6772;0;n/d;13900
SP-FARTURA;n/d;35227;30731;0;n/d;65958
SP-FERNANDOPOLIS;n/d;182458;126491;0;n/d;308949
SP-FERNANDO PRESTES;n/d;11555;10046;0;n/d;21601
SP-FERNAO;n/d;4090;2456;0;n/d;6546
SP-FERRAZ DE VASCONCELOS;n/d;235364;141250;0;n/d;376614
SP-FLORA RICA;n/d;2960;2220;0;n/d;5180
SP-FLOREAL;n/d;5584;3477;0;n/d;9061
SP-FLORIDA PAULISTA;n/d;31586;12706;0;n/d;44292
SP-FLORINIA;n/d;6615;3916;0;n/d;10531
SP-FRANCA;n/d;915456;739812;0;n/d;1655268
SP-FRANCISCO MORATO;n/d;78704;95255;0;n/d;173959
SP-FRANCO DA ROCHA;n/d;162495;123443;0;n/d;285938
SP-GABRIEL MONTEIRO;n/d;8697;11374;0;n/d;20071
SP-GALIA;n/d;18258;9491;0;n/d;27749
SP-GARCA;n/d;129683;86541;0;n/d;216224
SP-GASTAO VIDIGAL;n/d;4744;2885;0;n/d;7629
SP-GAVIAO PEIXOTO;n/d;50505;17741;0;n/d;68246
SP-GENERAL SALGADO;n/d;18433;13466;0;n/d;31899
SP-GETULINA;n/d;17069;9731;0;n/d;26800
SP-GLICERIO;n/d;10765;7687;0;n/d;18452
SP-GUAICARA;n/d;20524;15981;0;n/d;36505
SP-GUAIMBE;n/d;7172;4702;0;n/d;11874
SP-GUAIRA;n/d;181523;64704;0;n/d;246227
SP-GUAPIACU;n/d;47807;30895;0;n/d;78702
SP-GUAPIARA;n/d;27853;11682;0;n/d;39535
SP-GUARA;n/d;31615;24505;0;n/d;56120
SP-GUARACAI;n/d;15384;10634;0;n/d;26018
SP-GUARACI;n/d;30144;12908;0;n/d;43052
SP-GUARANI D OESTE;n/d;3097;2795;0;n/d;5892
SP-GUARANTA;n/d;16371;9916;0;n/d;26287
SP-GUARARAPES;n/d;79497;43997;0;n/d;123494
SP-GUARAREMA;n/d;83353;50610;0;n/d;133963
SP-GUARATINGUETA;n/d;359299;206614;0;n/d;565913
SP-GUAREI;n/d;24018;16428;0;n/d;40446
SP-GUARIBA;n/d;99749;47580;0;n/d;147329
SP-GUARUJA;n/d;571198;372973;0;n/d;944171
