Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-ADAMANTINA;n/d;4745;4034;n/d;n/d;8779
SP-ADOLFO;n/d;476;285;n/d;n/d;761
SP-AGUAI;n/d;3962;2164;n/d;n/d;6126
SP-AGUAS DA PRATA;n/d;597;325;n/d;n/d;922
SP-AGUAS DE LINDOIA;n/d;2632;1904;n/d;n/d;4536
SP-AGUAS DE SANTA BARBARA;n/d;721;503;n/d;n/d;1224
SP-AGUAS DE SAO PEDRO;n/d;627;604;n/d;n/d;1231
SP-AGUDOS;n/d;4697;2931;n/d;n/d;7628
SP-ALAMBARI;n/d;410;231;n/d;n/d;641
SP-ALFREDO MARCONDES;n/d;372;149;n/d;n/d;521
SP-ALTAIR;n/d;507;193;n/d;n/d;700
SP-ALTINOPOLIS;n/d;2342;1192;n/d;n/d;3534
SP-ALTO ALEGRE;n/d;290;305;n/d;n/d;595
SP-ALUMINIO;n/d;5713;1266;n/d;n/d;6979
SP-ALVARES FLORENCE;n/d;870;233;n/d;n/d;1103
SP-ALVARES MACHADO;n/d;1770;1104;n/d;n/d;2874
SP-ALVARO DE CARVALHO;n/d;247;193;n/d;n/d;440
SP-ALVINLANDIA;n/d;253;126;n/d;n/d;379
SP-AMERICANA;n/d;45434;35910;n/d;n/d;81344
SP-AMERICO BRASILIENSE;n/d;5643;2121;n/d;n/d;7764
SP-AMERICO DE CAMPOS;n/d;334;203;n/d;n/d;537
SP-AMPARO;n/d;12999;10526;n/d;n/d;23525
SP-ANALANDIA;n/d;730;332;n/d;n/d;1062
SP-ANDRADINA;n/d;9047;5133;n/d;n/d;14180
SP-ANGATUBA;n/d;2688;1497;n/d;n/d;4185
SP-ANHEMBI;n/d;602;268;n/d;n/d;870
SP-ANHUMAS;n/d;344;204;n/d;n/d;548
SP-APARECIDA;n/d;5114;3790;n/d;n/d;8904
SP-APARECIDA D OESTE;n/d;320;181;n/d;n/d;501
SP-APIAI;n/d;2742;1662;n/d;n/d;4404
SP-ARACARIGUAMA;n/d;4736;1888;n/d;n/d;6624
SP-ARACATUBA;n/d;27571;18842;n/d;n/d;46413
SP-ARACOIABA DA SERRA;n/d;3014;3884;n/d;n/d;6898
SP-ARAMINA;n/d;336;290;n/d;n/d;626
SP-ARANDU;n/d;806;390;n/d;n/d;1196
SP-ARAPEI;n/d;297;159;n/d;n/d;456
SP-ARARAQUARA;n/d;39154;28105;n/d;n/d;67259
SP-ARARAS;n/d;22955;13036;n/d;n/d;35991
SP-ARCO-IRIS;n/d;166;101;n/d;n/d;267
SP-AREALVA;n/d;893;474;n/d;n/d;1367
SP-AREIAS;n/d;335;165;n/d;n/d;500
SP-AREIOPOLIS;n/d;653;582;n/d;n/d;1235
SP-ARIRANHA;n/d;3092;772;n/d;n/d;3864
SP-ARTUR NOGUEIRA;n/d;4717;4659;n/d;n/d;9376
SP-ARUJA;n/d;13257;6570;n/d;n/d;19827
SP-ASPASIA;n/d;139;83;n/d;n/d;222
SP-ASSIS;n/d;12962;8725;n/d;n/d;21687
SP-ATIBAIA;n/d;19996;15062;n/d;n/d;35058
SP-AURIFLAMA;n/d;1504;1754;n/d;n/d;3258
SP-AVAI;n/d;441;309;n/d;n/d;750
SP-AVANHANDAVA;n/d;693;484;n/d;n/d;1177
SP-AVARE;n/d;11343;8644;n/d;n/d;19987
SP-BADY BASSITT;n/d;2256;1049;n/d;n/d;3305
SP-BALBINOS;n/d;200;164;n/d;n/d;364
SP-BALSAMO;n/d;925;396;n/d;n/d;1321
SP-BANANAL;n/d;1551;483;n/d;n/d;2034
SP-BARAO DE ANTONINA;n/d;187;176;n/d;n/d;363
SP-BARBOSA;n/d;450;304;n/d;n/d;754
SP-BARIRI;n/d;5734;3250;n/d;n/d;8984
SP-BARRA BONITA;n/d;9257;4320;n/d;n/d;13577
SP-BARRA DO CHAPEU;n/d;313;167;n/d;n/d;480
SP-BARRA DO TURVO;n/d;270;289;n/d;n/d;559
SP-BARRETOS;n/d;17261;12412;n/d;n/d;29673
SP-BARRINHA;n/d;1942;1260;n/d;n/d;3202
SP-BARUERI;n/d;133408;108871;n/d;n/d;242279
SP-BASTOS;n/d;3454;2364;n/d;n/d;5818
SP-BATATAIS;n/d;9294;5279;n/d;n/d;14573
SP-BAURU;n/d;68891;47174;n/d;n/d;116065
SP-BEBEDOURO;n/d;12543;7220;n/d;n/d;19763
SP-BENTO DE ABREU;n/d;780;261;n/d;n/d;1041
SP-BERNARDINO DE CAMPOS;n/d;1383;914;n/d;n/d;2297
SP-BERTIOGA;n/d;6915;4105;n/d;n/d;11020
SP-BILAC;n/d;870;573;n/d;n/d;1443
SP-BIRIGUI;n/d;18511;17551;n/d;n/d;36062
SP-BIRITIBA-MIRIM;n/d;2586;1605;n/d;n/d;4191
SP-BOA ESPERANCA DO SUL;n/d;1583;920;n/d;n/d;2503
SP-BOCAINA;n/d;2639;1468;n/d;n/d;4107
SP-BOFETE;n/d;886;602;n/d;n/d;1488
