Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-ADAMANTINA;n/d;4998;3930;n/d;n/d;8928
SP-ADOLFO;n/d;477;317;n/d;n/d;794
SP-AGUAI;n/d;3917;2085;n/d;n/d;6002
SP-AGUAS DA PRATA;n/d;546;315;n/d;n/d;861
SP-AGUAS DE LINDOIA;n/d;2659;1838;n/d;n/d;4497
SP-AGUAS DE SANTA BARBARA;n/d;818;530;n/d;n/d;1348
SP-AGUAS DE SAO PEDRO;n/d;656;567;n/d;n/d;1223
SP-AGUDOS;n/d;4123;2183;n/d;n/d;6306
SP-ALAMBARI;n/d;356;203;n/d;n/d;559
SP-ALFREDO MARCONDES;n/d;314;148;n/d;n/d;462
SP-ALTAIR;n/d;507;174;n/d;n/d;681
SP-ALTINOPOLIS;n/d;2268;1163;n/d;n/d;3431
SP-ALTO ALEGRE;n/d;300;315;n/d;n/d;615
SP-ALUMINIO;n/d;5683;1100;n/d;n/d;6783
SP-ALVARES FLORENCE;n/d;958;212;n/d;n/d;1170
SP-ALVARES MACHADO;n/d;1604;919;n/d;n/d;2523
SP-ALVARO DE CARVALHO;n/d;381;188;n/d;n/d;569
SP-ALVINLANDIA;n/d;216;117;n/d;n/d;333
SP-AMERICANA;n/d;43304;32814;n/d;n/d;76118
SP-AMERICO BRASILIENSE;n/d;5375;2049;n/d;n/d;7424
SP-AMERICO DE CAMPOS;n/d;338;212;n/d;n/d;550
SP-AMPARO;n/d;12058;9099;n/d;n/d;21157
SP-ANALANDIA;n/d;884;349;n/d;n/d;1233
SP-ANDRADINA;n/d;8428;4726;n/d;n/d;13154
SP-ANGATUBA;n/d;2695;1535;n/d;n/d;4230
SP-ANHEMBI;n/d;616;301;n/d;n/d;917
SP-ANHUMAS;n/d;303;189;n/d;n/d;492
SP-APARECIDA;n/d;4703;3350;n/d;n/d;8053
SP-APARECIDA D OESTE;n/d;263;155;n/d;n/d;418
SP-APIAI;n/d;2484;1512;n/d;n/d;3996
SP-ARACARIGUAMA;n/d;4915;1963;n/d;n/d;6878
SP-ARACATUBA;n/d;26103;17833;n/d;n/d;43936
SP-ARACOIABA DA SERRA;n/d;2512;1320;n/d;n/d;3832
SP-ARAMINA;n/d;355;286;n/d;n/d;641
SP-ARANDU;n/d;836;412;n/d;n/d;1248
SP-ARAPEI;n/d;469;145;n/d;n/d;614
SP-ARARAQUARA;n/d;39704;26331;n/d;n/d;66035
SP-ARARAS;n/d;21381;12159;n/d;n/d;33540
SP-ARCO-IRIS;n/d;157;93;n/d;n/d;250
SP-AREALVA;n/d;940;499;n/d;n/d;1439
SP-AREIAS;n/d;303;141;n/d;n/d;444
SP-AREIOPOLIS;n/d;526;504;n/d;n/d;1030
SP-ARIRANHA;n/d;3017;783;n/d;n/d;3800
SP-ARTUR NOGUEIRA;n/d;4568;4403;n/d;n/d;8971
SP-ARUJA;n/d;12008;5890;n/d;n/d;17898
SP-ASPASIA;n/d;149;98;n/d;n/d;247
SP-ASSIS;n/d;11973;8232;n/d;n/d;20205
SP-ATIBAIA;n/d;18404;13532;n/d;n/d;31936
SP-AURIFLAMA;n/d;1496;1660;n/d;n/d;3156
SP-AVAI;n/d;490;259;n/d;n/d;749
SP-AVANHANDAVA;n/d;836;521;n/d;n/d;1357
SP-AVARE;n/d;10620;8124;n/d;n/d;18744
SP-BADY BASSITT;n/d;1667;958;n/d;n/d;2625
SP-BALBINOS;n/d;184;157;n/d;n/d;341
SP-BALSAMO;n/d;866;337;n/d;n/d;1203
SP-BANANAL;n/d;1187;475;n/d;n/d;1662
SP-BARAO DE ANTONINA;n/d;159;131;n/d;n/d;290
SP-BARBOSA;n/d;371;236;n/d;n/d;607
SP-BARIRI;n/d;5347;2991;n/d;n/d;8338
SP-BARRA BONITA;n/d;8559;3970;n/d;n/d;12529
SP-BARRA DO CHAPEU;n/d;279;138;n/d;n/d;417
SP-BARRA DO TURVO;n/d;270;234;n/d;n/d;504
SP-BARRETOS;n/d;16269;11610;n/d;n/d;27879
SP-BARRINHA;n/d;1433;623;n/d;n/d;2056
SP-BARUERI;n/d;120984;91364;n/d;n/d;212348
SP-BASTOS;n/d;3346;2277;n/d;n/d;5623
SP-BATATAIS;n/d;9076;4888;n/d;n/d;13964
SP-BAURU;n/d;59509;41309;n/d;n/d;100818
SP-BEBEDOURO;n/d;15507;8833;n/d;n/d;24340
SP-BENTO DE ABREU;n/d;761;254;n/d;n/d;1015
SP-BERNARDINO DE CAMPOS;n/d;1353;816;n/d;n/d;2169
SP-BERTIOGA;n/d;6415;3352;n/d;n/d;9767
SP-BILAC;n/d;837;592;n/d;n/d;1429
SP-BIRIGUI;n/d;17489;16428;n/d;n/d;33917
SP-BIRITIBA-MIRIM;n/d;1743;1415;n/d;n/d;3158
SP-BOA ESPERANCA DO SUL;n/d;1934;998;n/d;n/d;2932
SP-BOCAINA;n/d;2372;1248;n/d;n/d;3620
SP-BOFETE;n/d;836;524;n/d;n/d;1360
SP-BOITUVA;n/d;10617;5580;n/d;n/d;16197
SP-BOM JESUS DOS PERDOES;n/d;2658;1132;n/d;n/d;3790
SP-BOM SUCESSO DE ITARARE;n/d;289;129;n/d;n/d;418
SP-BORA;n/d;1494;259;n/d;n/d;1753
SP-BORACEIA;n/d;845;423;n/d;n/d;1268
SP-BORBOREMA;n/d;1754;1254;n/d;n/d;3008
SP-BOREBI;n/d;417;268;n/d;n/d;685
SP-BOTUCATU;n/d;22161;13562;n/d;n/d;35723
SP-BRAGANCA PAULISTA;n/d;19541;15412;n/d;n/d;34953
SP-BRAUNA;n/d;251;159;n/d;n/d;410
SP-BREJO ALEGRE;n/d;1799;217;n/d;n/d;2016
SP-BRODOWSKI;n/d;1826;1674;n/d;n/d;3500
SP-BROTAS;n/d;4968;2450;n/d;n/d;7418
SP-BURI;n/d;1842;891;n/d;n/d;2733
SP-BURITAMA;n/d;1423;1108;n/d;n/d;2531
SP-BURITIZAL;n/d;1320;332;n/d;n/d;1652
SP-CABRALIA PAULISTA;n/d;565;327;n/d;n/d;892
SP-CABREUVA;n/d;6841;3438;n/d;n/d;10279
SP-CACAPAVA;n/d;11482;6400;n/d;n/d;17882
SP-CACHOEIRA PAULISTA;n/d;2452;2224;n/d;n/d;4676
SP-CACONDE;n/d;1867;958;n/d;n/d;2825
SP-CAFELANDIA;n/d;1973;998;n/d;n/d;2971
SP-CAIABU;n/d;134;182;n/d;n/d;316
SP-CAIEIRAS;n/d;10499;5246;n/d;n/d;15745
SP-CAIUA;n/d;1653;359;n/d;n/d;2012
SP-CAJAMAR;n/d;23464;16610;n/d;n/d;40074
SP-CAJATI;n/d;3149;1198;n/d;n/d;4347
SP-CAJOBI;n/d;764;473;n/d;n/d;1237
SP-CAJURU;n/d;2235;1467;n/d;n/d;3702
SP-CAMPINA DO MONTE ALEGRE;n/d;429;251;n/d;n/d;680
SP-CAMPINAS;n/d;203548;157033;n/d;n/d;360581
SP-CAMPO LIMPO PAULISTA;n/d;7362;4099;n/d;n/d;11461
SP-CAMPOS DO JORDAO;n/d;5796;5044;n/d;n/d;10840
SP-CAMPOS NOVOS PAULISTA;n/d;359;183;n/d;n/d;542
SP-CANANEIA;n/d;827;463;n/d;n/d;1290
SP-CANAS;n/d;459;183;n/d;n/d;642
SP-CANDIDO MOTA;n/d;2285;1505;n/d;n/d;3790
SP-CANDIDO RODRIGUES;n/d;246;280;n/d;n/d;526
SP-CANITAR;n/d;1163;454;n/d;n/d;1617
SP-CAPAO BONITO;n/d;4090;2467;n/d;n/d;6557
SP-CAPELA DO ALTO;n/d;1704;1153;n/d;n/d;2857
SP-CAPIVARI;n/d;7706;5062;n/d;n/d;12768
SP-CARAGUATATUBA;n/d;11157;8063;n/d;n/d;19220
SP-CARAPICUIBA;n/d;21253;17178;n/d;n/d;38431
SP-CARDOSO;n/d;737;526;n/d;n/d;1263
SP-CASA BRANCA;n/d;3965;2082;n/d;n/d;6047
SP-CASSIA DOS COQUEIROS;n/d;247;181;n/d;n/d;428
SP-CASTILHO;n/d;1666;861;n/d;n/d;2527
SP-CATANDUVA;n/d;19302;13538;n/d;n/d;32840
SP-CATIGUA;n/d;3878;570;n/d;n/d;4448
SP-CEDRAL;n/d;928;425;n/d;n/d;1353
SP-CERQUEIRA CESAR;n/d;2455;1272;n/d;n/d;3727
SP-CERQUILHO;n/d;6745;4305;n/d;n/d;11050
SP-CESARIO LANGE;n/d;1681;1089;n/d;n/d;2770
SP-CHARQUEADA;n/d;1681;976;n/d;n/d;2657
SP-CLEMENTINA;n/d;2719;526;n/d;n/d;3245
SP-COLINA;n/d;3946;1366;n/d;n/d;5312
SP-COLOMBIA;n/d;2527;950;n/d;n/d;3477
SP-CONCHAL;n/d;3046;2275;n/d;n/d;5321
SP-CONCHAS;n/d;1663;1090;n/d;n/d;2753
SP-CORDEIROPOLIS;n/d;5902;2546;n/d;n/d;8448
SP-COROADOS;n/d;477;230;n/d;n/d;707
SP-CORONEL MACEDO;n/d;366;175;n/d;n/d;541
SP-CORUMBATAI;n/d;678;351;n/d;n/d;1029
SP-COSMOPOLIS;n/d;5759;3654;n/d;n/d;9413
SP-COSMORAMA;n/d;1074;329;n/d;n/d;1403
SP-COTIA;n/d;44415;28140;n/d;n/d;72555
SP-CRAVINHOS;n/d;4440;2498;n/d;n/d;6938
SP-CRISTAIS PAULISTA;n/d;878;353;n/d;n/d;1231
SP-CRUZALIA;n/d;160;123;n/d;n/d;283
SP-CRUZEIRO;n/d;11010;5042;n/d;n/d;16052
SP-CUBATAO;n/d;29157;9736;n/d;n/d;38893
SP-CUNHA;n/d;1049;509;n/d;n/d;1558
SP-DESCALVADO;n/d;5329;2752;n/d;n/d;8081
SP-DIADEMA;n/d;68320;35583;n/d;n/d;103903
SP-DIRCE REIS;n/d;217;69;n/d;n/d;286
SP-DIVINOLANDIA;n/d;704;882;n/d;n/d;1586
SP-DOBRADA;n/d;306;316;n/d;n/d;622
SP-DOIS CORREGOS;n/d;3623;1814;n/d;n/d;5437
SP-DOLCINOPOLIS;n/d;169;136;n/d;n/d;305
SP-DOURADO;n/d;995;567;n/d;n/d;1562
SP-DRACENA;n/d;6179;3556;n/d;n/d;9735
SP-DUARTINA;n/d;1306;851;n/d;n/d;2157
SP-DUMONT;n/d;763;603;n/d;n/d;1366
SP-ECHAPORA;n/d;439;250;n/d;n/d;689
SP-ELDORADO;n/d;1346;587;n/d;n/d;1933
SP-ELIAS FAUSTO;n/d;3002;1363;n/d;n/d;4365
SP-ELISIARIO;n/d;287;150;n/d;n/d;437
SP-EMBAUBA;n/d;303;197;n/d;n/d;500
SP-EMBU DAS ARTES;n/d;26527;16546;n/d;n/d;43073
SP-EMBU-GUACU;n/d;5300;2619;n/d;n/d;7919
SP-EMILIANOPOLIS;n/d;223;147;n/d;n/d;370
SP-ENGENHEIRO COELHO;n/d;2072;1183;n/d;n/d;3255
SP-ESPIRITO SANTO DO PINHAL;n/d;6769;5173;n/d;n/d;11942
