Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-ADAMANTINA;n/d;5331;4863;n/d;n/d;10194
SP-ADOLFO;n/d;499;359;n/d;n/d;858
SP-AGUAI;n/d;4357;2609;n/d;n/d;6966
SP-AGUAS DA PRATA;n/d;544;450;n/d;n/d;994
SP-AGUAS DE LINDOIA;n/d;2601;2111;n/d;n/d;4712
SP-AGUAS DE SANTA BARBARA;n/d;891;496;n/d;n/d;1387
SP-AGUAS DE SAO PEDRO;n/d;688;741;n/d;n/d;1429
SP-AGUDOS;n/d;4916;3629;n/d;n/d;8545
SP-ALAMBARI;n/d;525;443;n/d;n/d;968
SP-ALFREDO MARCONDES;n/d;542;364;n/d;n/d;906
SP-ALTAIR;n/d;519;185;n/d;n/d;704
SP-ALTINOPOLIS;n/d;2685;1363;n/d;n/d;4048
SP-ALTO ALEGRE;n/d;295;237;n/d;n/d;532
SP-ALUMINIO;n/d;5038;1267;n/d;n/d;6305
SP-ALVARES FLORENCE;n/d;250;257;n/d;n/d;507
SP-ALVARES MACHADO;n/d;2039;1336;n/d;n/d;3375
SP-ALVARO DE CARVALHO;n/d;213;187;n/d;n/d;400
SP-ALVINLANDIA;n/d;218;131;n/d;n/d;349
SP-AMERICANA;n/d;39751;32089;n/d;n/d;71840
SP-AMERICO BRASILIENSE;n/d;6370;3073;n/d;n/d;9443
SP-AMERICO DE CAMPOS;n/d;258;310;n/d;n/d;568
SP-AMPARO;n/d;13545;10965;n/d;n/d;24510
SP-ANALANDIA;n/d;649;335;n/d;n/d;984
SP-ANDRADINA;n/d;8589;6186;n/d;n/d;14775
SP-ANGATUBA;n/d;3220;1946;n/d;n/d;5166
SP-ANHEMBI;n/d;577;295;n/d;n/d;872
SP-ANHUMAS;n/d;233;268;n/d;n/d;501
SP-APARECIDA;n/d;5889;5639;n/d;n/d;11528
SP-APARECIDA D OESTE;n/d;397;238;n/d;n/d;635
SP-APIAI;n/d;3090;1789;n/d;n/d;4879
SP-ARACARIGUAMA;n/d;6568;3054;n/d;n/d;9622
SP-ARACATUBA;n/d;30604;22995;n/d;n/d;53599
SP-ARACOIABA DA SERRA;n/d;2640;2276;n/d;n/d;4916
SP-ARAMINA;n/d;356;420;n/d;n/d;776
SP-ARANDU;n/d;886;442;n/d;n/d;1328
SP-ARAPEI;n/d;214;140;n/d;n/d;354
SP-ARARAQUARA;n/d;37000;35525;n/d;n/d;72525
SP-ARARAS;n/d;22371;14993;n/d;n/d;37364
SP-ARCO-IRIS;n/d;188;120;n/d;n/d;308
SP-AREALVA;n/d;1448;634;n/d;n/d;2082
SP-AREIAS;n/d;367;189;n/d;n/d;556
SP-AREIOPOLIS;n/d;483;534;n/d;n/d;1017
