Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-ADAMANTINA;n/d;5738;4710;n/d;n/d;10448
SP-ADOLFO;n/d;494;398;n/d;n/d;892
SP-AGUAI;n/d;4512;2738;n/d;n/d;7250
SP-AGUAS DA PRATA;n/d;505;505;n/d;n/d;1010
SP-AGUAS DE LINDOIA;n/d;2755;2334;n/d;n/d;5089
SP-AGUAS DE SANTA BARBARA;n/d;1029;647;n/d;n/d;1676
SP-AGUAS DE SAO PEDRO;n/d;577;656;n/d;n/d;1233
SP-AGUDOS;n/d;5604;4038;n/d;n/d;9642
SP-ALAMBARI;n/d;589;381;n/d;n/d;970
SP-ALFREDO MARCONDES;n/d;732;457;n/d;n/d;1189
SP-ALTAIR;n/d;538;222;n/d;n/d;760
SP-ALTINOPOLIS;n/d;2353;1343;n/d;n/d;3696
SP-ALTO ALEGRE;n/d;284;182;n/d;n/d;466
SP-ALUMINIO;n/d;5189;1577;n/d;n/d;6766
SP-ALVARES FLORENCE;n/d;267;237;n/d;n/d;504
SP-ALVARES MACHADO;n/d;2141;1374;n/d;n/d;3515
SP-ALVARO DE CARVALHO;n/d;171;177;n/d;n/d;348
SP-ALVINLANDIA;n/d;183;129;n/d;n/d;312
SP-AMERICANA;n/d;41574;33185;n/d;n/d;74759
SP-AMERICO BRASILIENSE;n/d;7312;3215;n/d;n/d;10527
SP-AMERICO DE CAMPOS;n/d;278;294;n/d;n/d;572
SP-AMPARO;n/d;14131;11090;n/d;n/d;25221
SP-ANALANDIA;n/d;1032;545;n/d;n/d;1577
SP-ANDRADINA;n/d;9361;7239;n/d;n/d;16600
SP-ANGATUBA;n/d;3453;1927;n/d;n/d;5380
SP-ANHEMBI;n/d;686;312;n/d;n/d;998
SP-ANHUMAS;n/d;231;247;n/d;n/d;478
SP-APARECIDA;n/d;5172;5045;n/d;n/d;10217
SP-APARECIDA D OESTE;n/d;402;292;n/d;n/d;694
SP-APIAI;n/d;3236;1952;n/d;n/d;5188
SP-ARACARIGUAMA;n/d;7011;3868;n/d;n/d;10879
SP-ARACATUBA;n/d;29113;23691;n/d;n/d;52804
SP-ARACOIABA DA SERRA;n/d;3562;2890;n/d;n/d;6452
SP-ARAMINA;n/d;339;379;n/d;n/d;718
SP-ARANDU;n/d;882;482;n/d;n/d;1364
SP-ARAPEI;n/d;216;153;n/d;n/d;369
SP-ARARAQUARA;n/d;40232;36764;n/d;n/d;76996
SP-ARARAS;n/d;23017;15334;n/d;n/d;38351
SP-ARCO-IRIS;n/d;184;135;n/d;n/d;319
