Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-ADAMANTINA;n/d;5388;4601;n/d;n/d;9989
SP-ADOLFO;n/d;542;433;n/d;n/d;975
SP-AGUAI;n/d;4289;2510;n/d;n/d;6799
SP-AGUAS DA PRATA;n/d;543;447;n/d;n/d;990
SP-AGUAS DE LINDOIA;n/d;2687;2196;n/d;n/d;4883
SP-AGUAS DE SANTA BARBARA;n/d;974;593;n/d;n/d;1567
SP-AGUAS DE SAO PEDRO;n/d;615;682;n/d;n/d;1297
SP-AGUDOS;n/d;5344;3792;n/d;n/d;9136
SP-ALAMBARI;n/d;499;343;n/d;n/d;842
SP-ALFREDO MARCONDES;n/d;865;501;n/d;n/d;1366
SP-ALTAIR;n/d;542;232;n/d;n/d;774
SP-ALTINOPOLIS;n/d;2472;1334;n/d;n/d;3806
SP-ALTO ALEGRE;n/d;267;187;n/d;n/d;454
SP-ALUMINIO;n/d;5145;1407;n/d;n/d;6552
SP-ALVARES FLORENCE;n/d;253;248;n/d;n/d;501
SP-ALVARES MACHADO;n/d;2001;1197;n/d;n/d;3198
SP-ALVARO DE CARVALHO;n/d;166;173;n/d;n/d;339
SP-ALVINLANDIA;n/d;176;122;n/d;n/d;298
SP-AMERICANA;n/d;39355;32258;n/d;n/d;71613
SP-AMERICO BRASILIENSE;n/d;6987;3077;n/d;n/d;10064
SP-AMERICO DE CAMPOS;n/d;245;296;n/d;n/d;541
SP-AMPARO;n/d;13908;10666;n/d;n/d;24574
SP-ANALANDIA;n/d;699;339;n/d;n/d;1038
SP-ANDRADINA;n/d;9259;6837;n/d;n/d;16096
SP-ANGATUBA;n/d;3735;1916;n/d;n/d;5651
SP-ANHEMBI;n/d;640;318;n/d;n/d;958
SP-ANHUMAS;n/d;217;251;n/d;n/d;468
SP-APARECIDA;n/d;5021;4661;n/d;n/d;9682
SP-APARECIDA D OESTE;n/d;404;276;n/d;n/d;680
SP-APIAI;n/d;3088;1835;n/d;n/d;4923
SP-ARACARIGUAMA;n/d;6559;3416;n/d;n/d;9975
SP-ARACATUBA;n/d;29151;22744;n/d;n/d;51895
SP-ARACOIABA DA SERRA;n/d;3126;2603;n/d;n/d;5729
SP-ARAMINA;n/d;353;368;n/d;n/d;721
SP-ARANDU;n/d;928;501;n/d;n/d;1429
SP-ARAPEI;n/d;199;154;n/d;n/d;353
SP-ARARAQUARA;n/d;38303;35533;n/d;n/d;73836
SP-ARARAS;n/d;22677;14664;n/d;n/d;37341
SP-ARCO-IRIS;n/d;182;132;n/d;n/d;314
SP-AREALVA;n/d;899;673;n/d;n/d;1572
SP-AREIAS;n/d;387;231;n/d;n/d;618
SP-AREIOPOLIS;n/d;641;577;n/d;n/d;1218
SP-ARIRANHA;n/d;2328;720;n/d;n/d;3048
SP-ARTUR NOGUEIRA;n/d;4591;4812;n/d;n/d;9403
SP-ARUJA;n/d;15886;9270;n/d;n/d;25156
SP-ASPASIA;n/d;96;109;n/d;n/d;205
SP-ASSIS;n/d;12088;9750;n/d;n/d;21838
SP-ATIBAIA;n/d;21443;18237;n/d;n/d;39680
SP-AURIFLAMA;n/d;1144;1280;n/d;n/d;2424
SP-AVAI;n/d;667;544;n/d;n/d;1211
SP-AVANHANDAVA;n/d;1247;557;n/d;n/d;1804
SP-AVARE;n/d;11732;9918;n/d;n/d;21650
SP-BADY BASSITT;n/d;2411;1282;n/d;n/d;3693
SP-BALBINOS;n/d;157;188;n/d;n/d;345
SP-BALSAMO;n/d;1107;504;n/d;n/d;1611
SP-BANANAL;n/d;1057;504;n/d;n/d;1561
SP-BARAO DE ANTONINA;n/d;268;271;n/d;n/d;539
SP-BARBOSA;n/d;335;266;n/d;n/d;601
SP-BARIRI;n/d;5414;3243;n/d;n/d;8657
SP-BARRA BONITA;n/d;7122;3899;n/d;n/d;11021
SP-BARRA DO CHAPEU;n/d;470;214;n/d;n/d;684
SP-BARRA DO TURVO;n/d;345;334;n/d;n/d;679
SP-BARRETOS;n/d;16970;16555;n/d;n/d;33525
SP-BARRINHA;n/d;2637;1531;n/d;n/d;4168
SP-BARUERI;n/d;158507;134745;n/d;n/d;293252
SP-BASTOS;n/d;3954;3006;n/d;n/d;6960
SP-BATATAIS;n/d;9572;5963;n/d;n/d;15535
SP-BAURU;n/d;69380;54918;n/d;n/d;124298
SP-BEBEDOURO;n/d;16483;9857;n/d;n/d;26340
