Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-ADAMANTINA;n/d;3624;2599;n/d;n/d;6223
SP-ADOLFO;n/d;463;227;n/d;n/d;690
SP-AGUAI;n/d;2869;1175;n/d;n/d;4044
SP-AGUAS DA PRATA;n/d;439;258;n/d;n/d;697
SP-AGUAS DE LINDOIA;n/d;1972;1395;n/d;n/d;3367
SP-AGUAS DE SANTA BARBARA;n/d;635;346;n/d;n/d;981
SP-AGUAS DE SAO PEDRO;n/d;529;427;n/d;n/d;956
SP-AGUDOS;n/d;3597;1549;n/d;n/d;5146
SP-ALAMBARI;n/d;254;172;n/d;n/d;426
SP-ALFREDO MARCONDES;n/d;186;109;n/d;n/d;295
SP-ALTAIR;n/d;566;151;n/d;n/d;717
SP-ALTINOPOLIS;n/d;1989;769;n/d;n/d;2758
SP-ALTO ALEGRE;n/d;360;184;n/d;n/d;544
SP-ALUMINIO;n/d;5045;770;n/d;n/d;5815
SP-ALVARES FLORENCE;n/d;519;96;n/d;n/d;615
SP-ALVARES MACHADO;n/d;1193;615;n/d;n/d;1808
SP-ALVARO DE CARVALHO;n/d;268;128;n/d;n/d;396
SP-ALVINLANDIA;n/d;359;137;n/d;n/d;496
SP-AMERICANA;n/d;35122;19468;n/d;n/d;54590
SP-AMERICO BRASILIENSE;n/d;3129;1209;n/d;n/d;4338
SP-AMERICO DE CAMPOS;n/d;343;190;n/d;n/d;533
SP-AMPARO;n/d;9599;6252;n/d;n/d;15851
SP-ANALANDIA;n/d;965;237;n/d;n/d;1202
SP-ANDRADINA;n/d;6650;3580;n/d;n/d;10230
SP-ANGATUBA;n/d;2152;898;n/d;n/d;3050
SP-ANHEMBI;n/d;366;131;n/d;n/d;497
SP-ANHUMAS;n/d;287;107;n/d;n/d;394
SP-APARECIDA;n/d;3346;2164;n/d;n/d;5510
SP-APARECIDA D OESTE;n/d;255;162;n/d;n/d;417
SP-APIAI;n/d;1994;1064;n/d;n/d;3058
SP-ARACARIGUAMA;n/d;3043;1136;n/d;n/d;4179
SP-ARACATUBA;n/d;18800;12477;n/d;n/d;31277
SP-ARACOIABA DA SERRA;n/d;2004;1195;n/d;n/d;3199
SP-ARAMINA;n/d;197;147;n/d;n/d;344
SP-ARANDU;n/d;618;267;n/d;n/d;885
SP-ARAPEI;n/d;240;117;n/d;n/d;357
SP-ARARAQUARA;n/d;28566;17243;n/d;n/d;45809
SP-ARARAS;n/d;15877;8348;n/d;n/d;24225
SP-ARCO-IRIS;n/d;136;68;n/d;n/d;204
SP-AREALVA;n/d;777;308;n/d;n/d;1085
SP-AREIAS;n/d;605;138;n/d;n/d;743
SP-AREIOPOLIS;n/d;490;394;n/d;n/d;884
SP-ARIRANHA;n/d;2304;509;n/d;n/d;2813
SP-ARTUR NOGUEIRA;n/d;3100;2588;n/d;n/d;5688
SP-ARUJA;n/d;7180;2968;n/d;n/d;10148
SP-ASPASIA;n/d;122;67;n/d;n/d;189
SP-ASSIS;n/d;9115;5735;n/d;n/d;14850
SP-ATIBAIA;n/d;12092;8255;n/d;n/d;20347
SP-AURIFLAMA;n/d;1051;1167;n/d;n/d;2218
SP-AVAI;n/d;431;150;n/d;n/d;581
