Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-ADAMANTINA;n/d;4240;3337;n/d;n/d;7577
SP-ADOLFO;n/d;537;278;n/d;n/d;815
SP-AGUAI;n/d;3744;1833;n/d;n/d;5577
SP-AGUAS DA PRATA;n/d;518;284;n/d;n/d;802
SP-AGUAS DE LINDOIA;n/d;2136;1535;n/d;n/d;3671
SP-AGUAS DE SANTA BARBARA;n/d;647;421;n/d;n/d;1068
SP-AGUAS DE SAO PEDRO;n/d;555;490;n/d;n/d;1045
SP-AGUDOS;n/d;3534;1786;n/d;n/d;5320
SP-ALAMBARI;n/d;307;190;n/d;n/d;497
SP-ALFREDO MARCONDES;n/d;236;124;n/d;n/d;360
SP-ALTAIR;n/d;437;136;n/d;n/d;573
SP-ALTINOPOLIS;n/d;2223;1064;n/d;n/d;3287
SP-ALTO ALEGRE;n/d;267;241;n/d;n/d;508
SP-ALUMINIO;n/d;6484;1048;n/d;n/d;7532
SP-ALVARES FLORENCE;n/d;715;190;n/d;n/d;905
SP-ALVARES MACHADO;n/d;1481;892;n/d;n/d;2373
SP-ALVARO DE CARVALHO;n/d;590;183;n/d;n/d;773
SP-ALVINLANDIA;n/d;209;103;n/d;n/d;312
SP-AMERICANA;n/d;41366;28198;n/d;n/d;69564
SP-AMERICO BRASILIENSE;n/d;4822;1644;n/d;n/d;6466
SP-AMERICO DE CAMPOS;n/d;303;181;n/d;n/d;484
SP-AMPARO;n/d;11698;7854;n/d;n/d;19552
SP-ANALANDIA;n/d;922;296;n/d;n/d;1218
SP-ANDRADINA;n/d;7494;3896;n/d;n/d;11390
SP-ANGATUBA;n/d;2757;1354;n/d;n/d;4111
SP-ANHEMBI;n/d;519;223;n/d;n/d;742
SP-ANHUMAS;n/d;336;158;n/d;n/d;494
SP-APARECIDA;n/d;4536;3006;n/d;n/d;7542
SP-APARECIDA D OESTE;n/d;285;171;n/d;n/d;456
SP-APIAI;n/d;2177;1160;n/d;n/d;3337
SP-ARACARIGUAMA;n/d;3565;1240;n/d;n/d;4805
SP-ARACATUBA;n/d;23622;15431;n/d;n/d;39053
SP-ARACOIABA DA SERRA;n/d;2150;1223;n/d;n/d;3373
SP-ARAMINA;n/d;265;226;n/d;n/d;491
SP-ARANDU;n/d;716;329;n/d;n/d;1045
SP-ARAPEI;n/d;275;139;n/d;n/d;414
SP-ARARAQUARA;n/d;36810;22012;n/d;n/d;58822
SP-ARARAS;n/d;19937;10979;n/d;n/d;30916
SP-ARCO-IRIS;n/d;163;76;n/d;n/d;239
SP-AREALVA;n/d;802;427;n/d;n/d;1229
SP-AREIAS;n/d;317;141;n/d;n/d;458
SP-AREIOPOLIS;n/d;720;487;n/d;n/d;1207
SP-ARIRANHA;n/d;1993;600;n/d;n/d;2593
SP-ARTUR NOGUEIRA;n/d;4427;4056;n/d;n/d;8483
SP-ARUJA;n/d;9967;4702;n/d;n/d;14669
SP-ASPASIA;n/d;173;101;n/d;n/d;274
SP-ASSIS;n/d;10879;7253;n/d;n/d;18132
SP-ATIBAIA;n/d;16325;11499;n/d;n/d;27824
SP-AURIFLAMA;n/d;1326;1578;n/d;n/d;2904
SP-AVAI;n/d;399;187;n/d;n/d;586
SP-AVANHANDAVA;n/d;686;460;n/d;n/d;1146
SP-AVARE;n/d;9329;7145;n/d;n/d;16474
SP-BADY BASSITT;n/d;1407;788;n/d;n/d;2195
SP-BALBINOS;n/d;169;132;n/d;n/d;301
SP-BALSAMO;n/d;832;304;n/d;n/d;1136
SP-BANANAL;n/d;1076;411;n/d;n/d;1487
SP-BARAO DE ANTONINA;n/d;156;95;n/d;n/d;251
SP-BARBOSA;n/d;385;289;n/d;n/d;674
SP-BARIRI;n/d;4898;2619;n/d;n/d;7517
SP-BARRA BONITA;n/d;8816;3787;n/d;n/d;12603
SP-BARRA DO CHAPEU;n/d;262;146;n/d;n/d;408
SP-BARRA DO TURVO;n/d;259;191;n/d;n/d;450
SP-BARRETOS;n/d;15536;10641;n/d;n/d;26177
SP-BARRINHA;n/d;1945;913;n/d;n/d;2858
SP-BARUERI;n/d;113442;86295;n/d;n/d;199737
SP-BASTOS;n/d;3292;2295;n/d;n/d;5587
SP-BATATAIS;n/d;9081;4292;n/d;n/d;13373
SP-BAURU;n/d;53781;34976;n/d;n/d;88757
SP-BEBEDOURO;n/d;14149;7845;n/d;n/d;21994
SP-BENTO DE ABREU;n/d;679;287;n/d;n/d;966
SP-BERNARDINO DE CAMPOS;n/d;1358;865;n/d;n/d;2223
SP-BERTIOGA;n/d;5673;2996;n/d;n/d;8669
SP-BILAC;n/d;803;593;n/d;n/d;1396
SP-BIRIGUI;n/d;17506;16262;n/d;n/d;33768
SP-BIRITIBA-MIRIM;n/d;1896;1253;n/d;n/d;3149
SP-BOA ESPERANCA DO SUL;n/d;1765;879;n/d;n/d;2644
SP-BOCAINA;n/d;3308;1366;n/d;n/d;4674
SP-BOFETE;n/d;941;603;n/d;n/d;1544
SP-BOITUVA;n/d;9350;5004;n/d;n/d;14354
SP-BOM JESUS DOS PERDOES;n/d;2290;981;n/d;n/d;3271
SP-BOM SUCESSO DE ITARARE;n/d;348;110;n/d;n/d;458
SP-BORA;n/d;1154;107;n/d;n/d;1261
SP-BORACEIA;n/d;747;429;n/d;n/d;1176
SP-BORBOREMA;n/d;1459;987;n/d;n/d;2446
SP-BOREBI;n/d;387;234;n/d;n/d;621
SP-BOTUCATU;n/d;24018;12685;n/d;n/d;36703
SP-BRAGANCA PAULISTA;n/d;18990;14019;n/d;n/d;33009
SP-BRAUNA;n/d;254;146;n/d;n/d;400
SP-BREJO ALEGRE;n/d;1432;237;n/d;n/d;1669
SP-BRODOWSKI;n/d;1543;1531;n/d;n/d;3074
SP-BROTAS;n/d;3817;1842;n/d;n/d;5659
SP-BURI;n/d;1835;839;n/d;n/d;2674
SP-BURITAMA;n/d;1235;806;n/d;n/d;2041
SP-BURITIZAL;n/d;1315;313;n/d;n/d;1628
SP-CABRALIA PAULISTA;n/d;514;242;n/d;n/d;756
SP-CABREUVA;n/d;5985;3188;n/d;n/d;9173
SP-CACAPAVA;n/d;10552;5000;n/d;n/d;15552
SP-CACHOEIRA PAULISTA;n/d;2277;1758;n/d;n/d;4035
SP-CACONDE;n/d;1722;837;n/d;n/d;2559
SP-CAFELANDIA;n/d;1856;931;n/d;n/d;2787
SP-CAIABU;n/d;157;163;n/d;n/d;320
SP-CAIEIRAS;n/d;10517;4358;n/d;n/d;14875
SP-CAIUA;n/d;1278;264;n/d;n/d;1542
SP-CAJAMAR;n/d;23490;15903;n/d;n/d;39393
SP-CAJATI;n/d;3523;1106;n/d;n/d;4629
SP-CAJOBI;n/d;855;526;n/d;n/d;1381
SP-CAJURU;n/d;2166;1371;n/d;n/d;3537
SP-CAMPINA DO MONTE ALEGRE;n/d;765;449;n/d;n/d;1214
SP-CAMPINAS;n/d;186658;141976;n/d;n/d;328634
SP-CAMPO LIMPO PAULISTA;n/d;7761;3163;n/d;n/d;10924
SP-CAMPOS DO JORDAO;n/d;5309;4538;n/d;n/d;9847
SP-CAMPOS NOVOS PAULISTA;n/d;337;167;n/d;n/d;504
SP-CANANEIA;n/d;818;440;n/d;n/d;1258
SP-CANAS;n/d;444;170;n/d;n/d;614
SP-CANDIDO MOTA;n/d;2352;1331;n/d;n/d;3683
SP-CANDIDO RODRIGUES;n/d;253;197;n/d;n/d;450
SP-CANITAR;n/d;385;270;n/d;n/d;655
SP-CAPAO BONITO;n/d;4056;2373;n/d;n/d;6429
SP-CAPELA DO ALTO;n/d;1212;811;n/d;n/d;2023
SP-CAPIVARI;n/d;6741;4610;n/d;n/d;11351
SP-CARAGUATATUBA;n/d;7720;5884;n/d;n/d;13604
SP-CARAPICUIBA;n/d;18588;14948;n/d;n/d;33536
SP-CARDOSO;n/d;675;451;n/d;n/d;1126
SP-CASA BRANCA;n/d;4001;2017;n/d;n/d;6018
SP-CASSIA DOS COQUEIROS;n/d;244;178;n/d;n/d;422
SP-CASTILHO;n/d;1841;828;n/d;n/d;2669
SP-CATANDUVA;n/d;17916;11798;n/d;n/d;29714
SP-CATIGUA;n/d;2967;512;n/d;n/d;3479
SP-CEDRAL;n/d;1676;389;n/d;n/d;2065
SP-CERQUEIRA CESAR;n/d;2093;1086;n/d;n/d;3179
SP-CERQUILHO;n/d;6320;3596;n/d;n/d;9916
SP-CESARIO LANGE;n/d;1453;859;n/d;n/d;2312
SP-CHARQUEADA;n/d;1524;892;n/d;n/d;2416
SP-CLEMENTINA;n/d;2087;498;n/d;n/d;2585
SP-COLINA;n/d;2966;1195;n/d;n/d;4161
SP-COLOMBIA;n/d;2293;853;n/d;n/d;3146
SP-CONCHAL;n/d;2583;2057;n/d;n/d;4640
SP-CONCHAS;n/d;3449;2182;n/d;n/d;5631
SP-CORDEIROPOLIS;n/d;5481;2147;n/d;n/d;7628
SP-COROADOS;n/d;465;206;n/d;n/d;671
SP-CORONEL MACEDO;n/d;340;144;n/d;n/d;484
SP-CORUMBATAI;n/d;682;379;n/d;n/d;1061
SP-COSMOPOLIS;n/d;5025;2940;n/d;n/d;7965
SP-COSMORAMA;n/d;851;284;n/d;n/d;1135
SP-COTIA;n/d;35406;22386;n/d;n/d;57792
SP-CRAVINHOS;n/d;4090;2000;n/d;n/d;6090
SP-CRISTAIS PAULISTA;n/d;935;360;n/d;n/d;1295
SP-CRUZALIA;n/d;172;107;n/d;n/d;279
SP-CRUZEIRO;n/d;11759;4504;n/d;n/d;16263
SP-CUBATAO;n/d;28632;8668;n/d;n/d;37300
SP-CUNHA;n/d;1001;495;n/d;n/d;1496
SP-DESCALVADO;n/d;5774;2999;n/d;n/d;8773
SP-DIADEMA;n/d;67990;32498;n/d;n/d;100488
SP-DIRCE REIS;n/d;216;72;n/d;n/d;288
SP-DIVINOLANDIA;n/d;617;841;n/d;n/d;1458
SP-DOBRADA;n/d;374;275;n/d;n/d;649
SP-DOIS CORREGOS;n/d;3372;1591;n/d;n/d;4963
SP-DOLCINOPOLIS;n/d;183;118;n/d;n/d;301
SP-DOURADO;n/d;874;524;n/d;n/d;1398
SP-DRACENA;n/d;5513;3111;n/d;n/d;8624
SP-DUARTINA;n/d;1152;845;n/d;n/d;1997
SP-DUMONT;n/d;749;544;n/d;n/d;1293
SP-ECHAPORA;n/d;436;175;n/d;n/d;611
SP-ELDORADO;n/d;1200;464;n/d;n/d;1664
SP-ELIAS FAUSTO;n/d;2032;1080;n/d;n/d;3112
SP-ELISIARIO;n/d;244;117;n/d;n/d;361
SP-EMBAUBA;n/d;233;147;n/d;n/d;380
SP-EMBU DAS ARTES;n/d;22664;13219;n/d;n/d;35883
SP-EMBU-GUACU;n/d;4710;2317;n/d;n/d;7027
SP-EMILIANOPOLIS;n/d;187;127;n/d;n/d;314
SP-ENGENHEIRO COELHO;n/d;1949;943;n/d;n/d;2892
SP-ESPIRITO SANTO DO PINHAL;n/d;6702;4547;n/d;n/d;11249
SP-ESPIRITO SANTO DO TURVO;n/d;1306;510;n/d;n/d;1816
SP-ESTRELA D OESTE;n/d;1972;850;n/d;n/d;2822
SP-ESTRELA DO NORTE;n/d;173;153;n/d;n/d;326
SP-EUCLIDES DA CUNHA PAULISTA;n/d;311;272;n/d;n/d;583
