Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-CAFELANDIA;n/d;1657;666;n/d;n/d;2323
SP-CAIABU;n/d;151;144;n/d;n/d;295
SP-CAIEIRAS;n/d;9759;3939;n/d;n/d;13698
SP-CAIUA;n/d;1175;293;n/d;n/d;1468
SP-CAJAMAR;n/d;22536;18032;n/d;n/d;40568
SP-CAJATI;n/d;3084;954;n/d;n/d;4038
SP-CAJOBI;n/d;954;548;n/d;n/d;1502
SP-CAJURU;n/d;2035;987;n/d;n/d;3022
SP-CAMPINA DO MONTE ALEGRE;n/d;999;818;n/d;n/d;1817
SP-CAMPINAS;n/d;172208;125403;n/d;n/d;297611
SP-CAMPO LIMPO PAULISTA;n/d;7171;2816;n/d;n/d;9987
SP-CAMPOS DO JORDAO;n/d;4868;4142;n/d;n/d;9010
SP-CAMPOS NOVOS PAULISTA;n/d;303;148;n/d;n/d;451
SP-CANANEIA;n/d;739;410;n/d;n/d;1149
SP-CANAS;n/d;419;182;n/d;n/d;601
SP-CANDIDO MOTA;n/d;2267;1194;n/d;n/d;3461
SP-CANDIDO RODRIGUES;n/d;213;145;n/d;n/d;358
SP-CANITAR;n/d;418;194;n/d;n/d;612
SP-CAPAO BONITO;n/d;4243;2137;n/d;n/d;6380
SP-CAPELA DO ALTO;n/d;1263;745;n/d;n/d;2008
SP-CAPIVARI;n/d;6572;4088;n/d;n/d;10660
SP-CARAGUATATUBA;n/d;6783;5202;n/d;n/d;11985
SP-CARAPICUIBA;n/d;16341;12441;n/d;n/d;28782
SP-CARDOSO;n/d;581;394;n/d;n/d;975
SP-CASA BRANCA;n/d;3400;1498;n/d;n/d;4898
SP-CASSIA DOS COQUEIROS;n/d;288;210;n/d;n/d;498
SP-CASTILHO;n/d;1512;701;n/d;n/d;2213
SP-CATANDUVA;n/d;16729;11009;n/d;n/d;27738
SP-CATIGUA;n/d;2917;372;n/d;n/d;3289
SP-CEDRAL;n/d;794;308;n/d;n/d;1102
SP-CERQUEIRA CESAR;n/d;1290;810;n/d;n/d;2100
SP-CERQUILHO;n/d;5318;3077;n/d;n/d;8395
SP-CESARIO LANGE;n/d;1193;634;n/d;n/d;1827
SP-CHARQUEADA;n/d;1248;672;n/d;n/d;1920
SP-CLEMENTINA;n/d;567;400;n/d;n/d;967
SP-COLINA;n/d;2252;982;n/d;n/d;3234
SP-COLOMBIA;n/d;1550;595;n/d;n/d;2145
SP-CONCHAL;n/d;1979;1563;n/d;n/d;3542
SP-CONCHAS;n/d;2940;1836;n/d;n/d;4776
SP-CORDEIROPOLIS;n/d;4896;1738;n/d;n/d;6634
SP-COROADOS;n/d;477;197;n/d;n/d;674
SP-CORONEL MACEDO;n/d;346;136;n/d;n/d;482
SP-CORUMBATAI;n/d;667;328;n/d;n/d;995
SP-COSMOPOLIS;n/d;4956;2725;n/d;n/d;7681
SP-COSMORAMA;n/d;495;222;n/d;n/d;717
SP-COTIA;n/d;31626;17331;n/d;n/d;48957
SP-CRAVINHOS;n/d;3990;1597;n/d;n/d;5587
SP-CRISTAIS PAULISTA;n/d;721;281;n/d;n/d;1002
