Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-ADAMANTINA;n/d;4866;4611;n/d;n/d;9477
SP-ADOLFO;n/d;477;338;n/d;n/d;815
SP-AGUAI;n/d;4889;2837;n/d;n/d;7726
SP-AGUAS DA PRATA;n/d;566;429;n/d;n/d;995
SP-AGUAS DE LINDOIA;n/d;2700;2319;n/d;n/d;5019
SP-AGUAS DE SANTA BARBARA;n/d;1040;614;n/d;n/d;1654
SP-AGUAS DE SAO PEDRO;n/d;590;678;n/d;n/d;1268
SP-AGUDOS;n/d;4987;3655;n/d;n/d;8642
SP-ALAMBARI;n/d;458;404;n/d;n/d;862
SP-ALFREDO MARCONDES;n/d;499;287;n/d;n/d;786
SP-ALTAIR;n/d;451;187;n/d;n/d;638
SP-ALTINOPOLIS;n/d;2689;1354;n/d;n/d;4043
SP-ALTO ALEGRE;n/d;322;221;n/d;n/d;543
SP-ALUMINIO;n/d;5132;1347;n/d;n/d;6479
SP-ALVARES FLORENCE;n/d;344;307;n/d;n/d;651
SP-ALVARES MACHADO;n/d;1949;1631;n/d;n/d;3580
SP-ALVARO DE CARVALHO;n/d;227;191;n/d;n/d;418
SP-ALVINLANDIA;n/d;199;134;n/d;n/d;333
SP-AMERICANA;n/d;42111;34500;n/d;n/d;76611
SP-AMERICO BRASILIENSE;n/d;6050;2551;n/d;n/d;8601
SP-AMERICO DE CAMPOS;n/d;287;320;n/d;n/d;607
SP-AMPARO;n/d;14078;10920;n/d;n/d;24998
SP-ANALANDIA;n/d;684;355;n/d;n/d;1039
SP-ANDRADINA;n/d;8940;6209;n/d;n/d;15149
SP-ANGATUBA;n/d;3567;2162;n/d;n/d;5729
SP-ANHEMBI;n/d;580;277;n/d;n/d;857
SP-ANHUMAS;n/d;294;274;n/d;n/d;568
SP-APARECIDA;n/d;6139;5608;n/d;n/d;11747
SP-APARECIDA D OESTE;n/d;366;247;n/d;n/d;613
SP-APIAI;n/d;2916;2239;n/d;n/d;5155
SP-ARACARIGUAMA;n/d;6333;2968;n/d;n/d;9301
SP-ARACATUBA;n/d;31636;23871;n/d;n/d;55507
SP-ARACOIABA DA SERRA;n/d;2864;2260;n/d;n/d;5124
SP-ARAMINA;n/d;349;360;n/d;n/d;709
SP-ARANDU;n/d;974;549;n/d;n/d;1523
SP-ARAPEI;n/d;241;170;n/d;n/d;411
SP-ARARAQUARA;n/d;39011;36132;n/d;n/d;75143
SP-ARARAS;n/d;22885;14995;n/d;n/d;37880
SP-ARCO-IRIS;n/d;167;111;n/d;n/d;278
SP-AREALVA;n/d;782;524;n/d;n/d;1306
SP-AREIAS;n/d;357;187;n/d;n/d;544
SP-AREIOPOLIS;n/d;572;575;n/d;n/d;1147
SP-ARIRANHA;n/d;3147;947;n/d;n/d;4094
SP-ARTUR NOGUEIRA;n/d;5338;6220;n/d;n/d;11558
SP-ARUJA;n/d;14189;8594;n/d;n/d;22783
SP-ASPASIA;n/d;122;114;n/d;n/d;236
SP-ASSIS;n/d;13296;10264;n/d;n/d;23560
SP-ATIBAIA;n/d;21775;18082;n/d;n/d;39857
SP-AURIFLAMA;n/d;1403;1685;n/d;n/d;3088
SP-AVAI;n/d;654;440;n/d;n/d;1094
SP-AVANHANDAVA;n/d;1294;655;n/d;n/d;1949
SP-AVARE;n/d;11778;10459;n/d;n/d;22237
SP-BADY BASSITT;n/d;2143;1284;n/d;n/d;3427
SP-BALBINOS;n/d;196;226;n/d;n/d;422
SP-BALSAMO;n/d;963;463;n/d;n/d;1426
SP-BANANAL;n/d;1552;584;n/d;n/d;2136
SP-BARAO DE ANTONINA;n/d;282;248;n/d;n/d;530
SP-BARBOSA;n/d;383;402;n/d;n/d;785
SP-BARIRI;n/d;5641;3215;n/d;n/d;8856
SP-BARRA BONITA;n/d;7953;4152;n/d;n/d;12105
SP-BARRA DO CHAPEU;n/d;361;196;n/d;n/d;557
SP-BARRA DO TURVO;n/d;319;313;n/d;n/d;632
SP-BARRETOS;n/d;19143;15450;n/d;n/d;34593
SP-BARRINHA;n/d;2354;1532;n/d;n/d;3886
SP-BARUERI;n/d;140989;122257;n/d;n/d;263246
SP-BASTOS;n/d;4493;3173;n/d;n/d;7666
SP-BATATAIS;n/d;9219;6316;n/d;n/d;15535
SP-BAURU;n/d;71044;54709;n/d;n/d;125753
SP-BEBEDOURO;n/d;17341;10597;n/d;n/d;27938
