Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-ADAMANTINA;n/d;4248;3075;n/d;n/d;7323
SP-ADOLFO;n/d;514;282;n/d;n/d;796
SP-AGUAI;n/d;3528;1672;n/d;n/d;5200
SP-AGUAS DA PRATA;n/d;489;303;n/d;n/d;792
SP-AGUAS DE LINDOIA;n/d;2217;1541;n/d;n/d;3758
SP-AGUAS DE SANTA BARBARA;n/d;630;398;n/d;n/d;1028
SP-AGUAS DE SAO PEDRO;n/d;1037;630;n/d;n/d;1667
SP-AGUDOS;n/d;3671;1981;n/d;n/d;5652
SP-ALAMBARI;n/d;330;175;n/d;n/d;505
SP-ALFREDO MARCONDES;n/d;222;126;n/d;n/d;348
SP-ALTAIR;n/d;425;120;n/d;n/d;545
SP-ALTINOPOLIS;n/d;2267;981;n/d;n/d;3248
SP-ALTO ALEGRE;n/d;250;253;n/d;n/d;503
SP-ALUMINIO;n/d;6209;1014;n/d;n/d;7223
SP-ALVARES FLORENCE;n/d;674;161;n/d;n/d;835
SP-ALVARES MACHADO;n/d;1383;840;n/d;n/d;2223
SP-ALVARO DE CARVALHO;n/d;721;193;n/d;n/d;914
SP-ALVINLANDIA;n/d;198;97;n/d;n/d;295
SP-AMERICANA;n/d;39191;26014;n/d;n/d;65205
SP-AMERICO BRASILIENSE;n/d;4611;1786;n/d;n/d;6397
SP-AMERICO DE CAMPOS;n/d;312;165;n/d;n/d;477
SP-AMPARO;n/d;10930;7294;n/d;n/d;18224
SP-ANALANDIA;n/d;888;295;n/d;n/d;1183
SP-ANDRADINA;n/d;8154;3956;n/d;n/d;12110
SP-ANGATUBA;n/d;2525;1247;n/d;n/d;3772
SP-ANHEMBI;n/d;464;189;n/d;n/d;653
SP-ANHUMAS;n/d;288;145;n/d;n/d;433
SP-APARECIDA;n/d;4308;2749;n/d;n/d;7057
SP-APARECIDA D OESTE;n/d;251;186;n/d;n/d;437
SP-APIAI;n/d;2059;1171;n/d;n/d;3230
SP-ARACARIGUAMA;n/d;3303;1136;n/d;n/d;4439
SP-ARACATUBA;n/d;21326;14470;n/d;n/d;35796
SP-ARACOIABA DA SERRA;n/d;2037;1417;n/d;n/d;3454
SP-ARAMINA;n/d;270;202;n/d;n/d;472
SP-ARANDU;n/d;678;322;n/d;n/d;1000
SP-ARAPEI;n/d;290;193;n/d;n/d;483
SP-ARARAQUARA;n/d;34760;21026;n/d;n/d;55786
SP-ARARAS;n/d;18849;10268;n/d;n/d;29117
SP-ARCO-IRIS;n/d;161;79;n/d;n/d;240
SP-AREALVA;n/d;738;378;n/d;n/d;1116
SP-AREIAS;n/d;319;134;n/d;n/d;453
SP-AREIOPOLIS;n/d;680;416;n/d;n/d;1096
SP-ARIRANHA;n/d;2031;580;n/d;n/d;2611
SP-ARTUR NOGUEIRA;n/d;4196;3765;n/d;n/d;7961
SP-ARUJA;n/d;9858;4252;n/d;n/d;14110
SP-ASPASIA;n/d;143;91;n/d;n/d;234
SP-ASSIS;n/d;9974;6698;n/d;n/d;16672
SP-ATIBAIA;n/d;14945;10565;n/d;n/d;25510
SP-AURIFLAMA;n/d;1163;1395;n/d;n/d;2558
SP-AVAI;n/d;400;165;n/d;n/d;565
SP-AVANHANDAVA;n/d;629;436;n/d;n/d;1065
SP-AVARE;n/d;7938;6111;n/d;n/d;14049
SP-BADY BASSITT;n/d;1252;726;n/d;n/d;1978
SP-BALBINOS;n/d;182;136;n/d;n/d;318
SP-BALSAMO;n/d;708;264;n/d;n/d;972
SP-BANANAL;n/d;1069;418;n/d;n/d;1487
SP-BARAO DE ANTONINA;n/d;136;88;n/d;n/d;224
SP-BARBOSA;n/d;396;279;n/d;n/d;675
SP-BARIRI;n/d;4333;2201;n/d;n/d;6534
SP-BARRA BONITA;n/d;10666;3857;n/d;n/d;14523
SP-BARRA DO CHAPEU;n/d;257;141;n/d;n/d;398
SP-BARRA DO TURVO;n/d;238;146;n/d;n/d;384
SP-BARRETOS;n/d;15153;10074;n/d;n/d;25227
SP-BARRINHA;n/d;1742;879;n/d;n/d;2621
SP-BARUERI;n/d;109420;79692;n/d;n/d;189112
SP-BASTOS;n/d;3134;2029;n/d;n/d;5163
SP-BATATAIS;n/d;8224;3923;n/d;n/d;12147
SP-BAURU;n/d;51337;32840;n/d;n/d;84177
SP-BEBEDOURO;n/d;14703;8002;n/d;n/d;22705
SP-BENTO DE ABREU;n/d;733;243;n/d;n/d;976
SP-BERNARDINO DE CAMPOS;n/d;1156;726;n/d;n/d;1882
SP-BERTIOGA;n/d;5309;2641;n/d;n/d;7950
