Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-ADAMANTINA;n/d;5021;3938;n/d;n/d;8959
SP-ADOLFO;n/d;520;313;n/d;n/d;833
SP-AGUAI;n/d;3794;1922;n/d;n/d;5716
SP-AGUAS DA PRATA;n/d;521;308;n/d;n/d;829
SP-AGUAS DE LINDOIA;n/d;2521;1705;n/d;n/d;4226
SP-AGUAS DE SANTA BARBARA;n/d;708;454;n/d;n/d;1162
SP-AGUAS DE SAO PEDRO;n/d;602;515;n/d;n/d;1117
SP-AGUDOS;n/d;3779;1888;n/d;n/d;5667
SP-ALAMBARI;n/d;379;221;n/d;n/d;600
SP-ALFREDO MARCONDES;n/d;326;150;n/d;n/d;476
SP-ALTAIR;n/d;467;139;n/d;n/d;606
SP-ALTINOPOLIS;n/d;2279;1147;n/d;n/d;3426
SP-ALTO ALEGRE;n/d;272;246;n/d;n/d;518
SP-ALUMINIO;n/d;6452;1202;n/d;n/d;7654
SP-ALVARES FLORENCE;n/d;837;209;n/d;n/d;1046
SP-ALVARES MACHADO;n/d;1595;946;n/d;n/d;2541
SP-ALVARO DE CARVALHO;n/d;596;202;n/d;n/d;798
SP-ALVINLANDIA;n/d;228;114;n/d;n/d;342
SP-AMERICANA;n/d;42175;30930;n/d;n/d;73105
SP-AMERICO BRASILIENSE;n/d;5290;1926;n/d;n/d;7216
SP-AMERICO DE CAMPOS;n/d;339;205;n/d;n/d;544
SP-AMPARO;n/d;11890;8112;n/d;n/d;20002
SP-ANALANDIA;n/d;964;423;n/d;n/d;1387
SP-ANDRADINA;n/d;8425;4400;n/d;n/d;12825
SP-ANGATUBA;n/d;2780;1367;n/d;n/d;4147
SP-ANHEMBI;n/d;498;243;n/d;n/d;741
SP-ANHUMAS;n/d;277;153;n/d;n/d;430
SP-APARECIDA;n/d;4542;3210;n/d;n/d;7752
SP-APARECIDA D OESTE;n/d;286;171;n/d;n/d;457
SP-APIAI;n/d;2205;1297;n/d;n/d;3502
SP-ARACARIGUAMA;n/d;4009;1538;n/d;n/d;5547
SP-ARACATUBA;n/d;24697;16861;n/d;n/d;41558
SP-ARACOIABA DA SERRA;n/d;2209;1343;n/d;n/d;3552
SP-ARAMINA;n/d;349;280;n/d;n/d;629
SP-ARANDU;n/d;861;425;n/d;n/d;1286
SP-ARAPEI;n/d;270;138;n/d;n/d;408
SP-ARARAQUARA;n/d;37512;24511;n/d;n/d;62023
SP-ARARAS;n/d;21869;11653;n/d;n/d;33522
SP-ARCO-IRIS;n/d;164;91;n/d;n/d;255
SP-AREALVA;n/d;843;405;n/d;n/d;1248
SP-AREIAS;n/d;319;144;n/d;n/d;463
SP-AREIOPOLIS;n/d;700;520;n/d;n/d;1220
SP-ARIRANHA;n/d;2983;765;n/d;n/d;3748
SP-ARTUR NOGUEIRA;n/d;4672;4097;n/d;n/d;8769
SP-ARUJA;n/d;11769;5414;n/d;n/d;17183
SP-ASPASIA;n/d;145;89;n/d;n/d;234
SP-ASSIS;n/d;11311;7641;n/d;n/d;18952
SP-ATIBAIA;n/d;17699;13007;n/d;n/d;30706
SP-AURIFLAMA;n/d;1398;1587;n/d;n/d;2985
SP-AVAI;n/d;447;242;n/d;n/d;689
SP-AVANHANDAVA;n/d;807;472;n/d;n/d;1279
SP-AVARE;n/d;10094;7479;n/d;n/d;17573
SP-BADY BASSITT;n/d;1594;864;n/d;n/d;2458
SP-BALBINOS;n/d;182;148;n/d;n/d;330
SP-BALSAMO;n/d;780;313;n/d;n/d;1093
SP-BANANAL;n/d;1337;431;n/d;n/d;1768
SP-BARAO DE ANTONINA;n/d;165;119;n/d;n/d;284
SP-BARBOSA;n/d;363;266;n/d;n/d;629
SP-BARIRI;n/d;5208;2946;n/d;n/d;8154
SP-BARRA BONITA;n/d;9406;4073;n/d;n/d;13479
SP-BARRA DO CHAPEU;n/d;280;157;n/d;n/d;437
SP-BARRA DO TURVO;n/d;245;205;n/d;n/d;450
SP-BARRETOS;n/d;16483;11006;n/d;n/d;27489
SP-BARRINHA;n/d;1731;905;n/d;n/d;2636
SP-BARUERI;n/d;117250;85891;n/d;n/d;203141
SP-BASTOS;n/d;3252;2315;n/d;n/d;5567
SP-BATATAIS;n/d;8855;4740;n/d;n/d;13595
SP-BAURU;n/d;58573;38723;n/d;n/d;97296
SP-BEBEDOURO;n/d;15181;8812;n/d;n/d;23993
SP-BENTO DE ABREU;n/d;1101;295;n/d;n/d;1396
SP-BERNARDINO DE CAMPOS;n/d;1307;851;n/d;n/d;2158
SP-BERTIOGA;n/d;5940;3099;n/d;n/d;9039
SP-BILAC;n/d;844;552;n/d;n/d;1396
SP-BIRIGUI;n/d;16847;16025;n/d;n/d;32872
SP-BIRITIBA-MIRIM;n/d;1943;1339;n/d;n/d;3282
SP-BOA ESPERANCA DO SUL;n/d;1732;932;n/d;n/d;2664
SP-BOCAINA;n/d;2237;1341;n/d;n/d;3578
SP-BOFETE;n/d;875;583;n/d;n/d;1458
SP-BOITUVA;n/d;11254;5656;n/d;n/d;16910
SP-BOM JESUS DOS PERDOES;n/d;2747;1114;n/d;n/d;3861
SP-BOM SUCESSO DE ITARARE;n/d;300;131;n/d;n/d;431
SP-BORA;n/d;1164;194;n/d;n/d;1358
SP-BORACEIA;n/d;700;374;n/d;n/d;1074
SP-BORBOREMA;n/d;1502;1175;n/d;n/d;2677
SP-BOREBI;n/d;364;274;n/d;n/d;638
SP-BOTUCATU;n/d;21588;13012;n/d;n/d;34600
SP-BRAGANCA PAULISTA;n/d;19592;14912;n/d;n/d;34504
SP-BRAUNA;n/d;247;157;n/d;n/d;404
SP-BREJO ALEGRE;n/d;1938;212;n/d;n/d;2150
SP-BRODOWSKI;n/d;1593;1442;n/d;n/d;3035
SP-BROTAS;n/d;4562;2171;n/d;n/d;6733
SP-BURI;n/d;1876;851;n/d;n/d;2727
SP-BURITAMA;n/d;1233;903;n/d;n/d;2136
SP-BURITIZAL;n/d;1268;330;n/d;n/d;1598
SP-CABRALIA PAULISTA;n/d;595;299;n/d;n/d;894
SP-CABREUVA;n/d;6420;3323;n/d;n/d;9743
SP-CACAPAVA;n/d;11009;5628;n/d;n/d;16637
SP-CACHOEIRA PAULISTA;n/d;2596;1908;n/d;n/d;4504
SP-CACONDE;n/d;1670;883;n/d;n/d;2553
SP-CAFELANDIA;n/d;1926;998;n/d;n/d;2924
SP-CAIABU;n/d;141;172;n/d;n/d;313
SP-CAIEIRAS;n/d;11498;5198;n/d;n/d;16696
SP-CAIUA;n/d;1635;325;n/d;n/d;1960
SP-CAJAMAR;n/d;22094;14983;n/d;n/d;37077
SP-CAJATI;n/d;3654;1138;n/d;n/d;4792
SP-CAJOBI;n/d;762;493;n/d;n/d;1255
SP-CAJURU;n/d;2140;1379;n/d;n/d;3519
SP-CAMPINA DO MONTE ALEGRE;n/d;490;270;n/d;n/d;760
SP-CAMPINAS;n/d;202184;151636;n/d;n/d;353820
SP-CAMPO LIMPO PAULISTA;n/d;7485;3552;n/d;n/d;11037
SP-CAMPOS DO JORDAO;n/d;5392;4676;n/d;n/d;10068
SP-CAMPOS NOVOS PAULISTA;n/d;333;167;n/d;n/d;500
SP-CANANEIA;n/d;833;430;n/d;n/d;1263
SP-CANAS;n/d;491;163;n/d;n/d;654
SP-CANDIDO MOTA;n/d;2434;1431;n/d;n/d;3865
SP-CANDIDO RODRIGUES;n/d;279;289;n/d;n/d;568
SP-CANITAR;n/d;953;389;n/d;n/d;1342
SP-CAPAO BONITO;n/d;4248;2409;n/d;n/d;6657
SP-CAPELA DO ALTO;n/d;1217;895;n/d;n/d;2112
SP-CAPIVARI;n/d;7467;4922;n/d;n/d;12389
SP-CARAGUATATUBA;n/d;8770;6784;n/d;n/d;15554
SP-CARAPICUIBA;n/d;19654;14944;n/d;n/d;34598
SP-CARDOSO;n/d;734;492;n/d;n/d;1226
SP-CASA BRANCA;n/d;4017;2136;n/d;n/d;6153
SP-CASSIA DOS COQUEIROS;n/d;296;173;n/d;n/d;469
SP-CASTILHO;n/d;2045;902;n/d;n/d;2947
SP-CATANDUVA;n/d;18123;12243;n/d;n/d;30366
SP-CATIGUA;n/d;3642;550;n/d;n/d;4192
SP-CEDRAL;n/d;933;343;n/d;n/d;1276
SP-CERQUEIRA CESAR;n/d;2010;1080;n/d;n/d;3090
SP-CERQUILHO;n/d;6637;4078;n/d;n/d;10715
SP-CESARIO LANGE;n/d;1561;943;n/d;n/d;2504
SP-CHARQUEADA;n/d;1628;906;n/d;n/d;2534
SP-CLEMENTINA;n/d;2502;551;n/d;n/d;3053
SP-COLINA;n/d;3360;1228;n/d;n/d;4588
SP-COLOMBIA;n/d;2210;972;n/d;n/d;3182
SP-CONCHAL;n/d;2775;1971;n/d;n/d;4746
SP-CONCHAS;n/d;1812;1295;n/d;n/d;3107
SP-CORDEIROPOLIS;n/d;5569;2394;n/d;n/d;7963
SP-COROADOS;n/d;430;207;n/d;n/d;637
SP-CORONEL MACEDO;n/d;380;164;n/d;n/d;544
SP-CORUMBATAI;n/d;685;393;n/d;n/d;1078
SP-COSMOPOLIS;n/d;5455;3238;n/d;n/d;8693
SP-COSMORAMA;n/d;903;304;n/d;n/d;1207
SP-COTIA;n/d;40886;25562;n/d;n/d;66448
SP-CRAVINHOS;n/d;4401;2368;n/d;n/d;6769
SP-CRISTAIS PAULISTA;n/d;805;354;n/d;n/d;1159
SP-CRUZALIA;n/d;162;127;n/d;n/d;289
SP-CRUZEIRO;n/d;11210;4814;n/d;n/d;16024
SP-CUBATAO;n/d;30510;9046;n/d;n/d;39556
SP-CUNHA;n/d;1028;550;n/d;n/d;1578
SP-DESCALVADO;n/d;5865;3075;n/d;n/d;8940
SP-DIADEMA;n/d;69003;33808;n/d;n/d;102811
SP-DIRCE REIS;n/d;202;69;n/d;n/d;271
SP-DIVINOLANDIA;n/d;642;842;n/d;n/d;1484
SP-DOBRADA;n/d;320;313;n/d;n/d;633
SP-DOIS CORREGOS;n/d;3444;1800;n/d;n/d;5244
SP-DOLCINOPOLIS;n/d;169;136;n/d;n/d;305
SP-DOURADO;n/d;918;546;n/d;n/d;1464
SP-DRACENA;n/d;5731;3288;n/d;n/d;9019
SP-DUARTINA;n/d;1331;957;n/d;n/d;2288
SP-DUMONT;n/d;783;594;n/d;n/d;1377
SP-ECHAPORA;n/d;442;207;n/d;n/d;649
SP-ELDORADO;n/d;1253;470;n/d;n/d;1723
SP-ELIAS FAUSTO;n/d;2938;1305;n/d;n/d;4243
SP-ELISIARIO;n/d;304;130;n/d;n/d;434
SP-EMBAUBA;n/d;268;157;n/d;n/d;425
SP-EMBU DAS ARTES;n/d;25194;14952;n/d;n/d;40146
SP-EMBU-GUACU;n/d;4910;2400;n/d;n/d;7310
SP-EMILIANOPOLIS;n/d;213;138;n/d;n/d;351
SP-ENGENHEIRO COELHO;n/d;1930;1074;n/d;n/d;3004
SP-ESPIRITO SANTO DO PINHAL;n/d;7104;5590;n/d;n/d;12694
SP-ESPIRITO SANTO DO TURVO;n/d;1436;640;n/d;n/d;2076
SP-ESTRELA D OESTE;n/d;1284;640;n/d;n/d;1924
SP-ESTRELA DO NORTE;n/d;215;190;n/d;n/d;405
SP-EUCLIDES DA CUNHA PAULISTA;n/d;326;297;n/d;n/d;623
SP-FARTURA;n/d;1451;1189;n/d;n/d;2640
SP-FERNANDOPOLIS;n/d;8145;4781;n/d;n/d;12926
SP-FERNANDO PRESTES;n/d;445;321;n/d;n/d;766
SP-FERNAO;n/d;201;111;n/d;n/d;312
SP-FERRAZ DE VASCONCELOS;n/d;10695;5374;n/d;n/d;16069
SP-FLORA RICA;n/d;129;86;n/d;n/d;215
SP-FLOREAL;n/d;291;144;n/d;n/d;435
SP-FLORIDA PAULISTA;n/d;2607;667;n/d;n/d;3274
SP-FLORINIA;n/d;348;187;n/d;n/d;535
SP-FRANCA;n/d;39812;29893;n/d;n/d;69705
SP-FRANCISCO MORATO;n/d;3497;3855;n/d;n/d;7352
SP-FRANCO DA ROCHA;n/d;7983;4510;n/d;n/d;12493
SP-GABRIEL MONTEIRO;n/d;450;584;n/d;n/d;1034
SP-GALIA;n/d;802;382;n/d;n/d;1184
SP-GARCA;n/d;6512;3869;n/d;n/d;10381
SP-GASTAO VIDIGAL;n/d;212;130;n/d;n/d;342
SP-GAVIAO PEIXOTO;n/d;3002;1011;n/d;n/d;4013
SP-GENERAL SALGADO;n/d;965;679;n/d;n/d;1644
SP-GETULINA;n/d;835;464;n/d;n/d;1299
SP-GLICERIO;n/d;515;371;n/d;n/d;886
SP-GUAICARA;n/d;1139;956;n/d;n/d;2095
SP-GUAIMBE;n/d;320;211;n/d;n/d;531
SP-GUAIRA;n/d;8313;2571;n/d;n/d;10884
SP-GUAPIACU;n/d;2079;1438;n/d;n/d;3517
SP-GUAPIARA;n/d;1381;480;n/d;n/d;1861
SP-GUARA;n/d;1778;1219;n/d;n/d;2997
SP-GUARACAI;n/d;754;473;n/d;n/d;1227
SP-GUARACI;n/d;1504;535;n/d;n/d;2039
SP-GUARANI D OESTE;n/d;142;119;n/d;n/d;261
SP-GUARANTA;n/d;858;492;n/d;n/d;1350
SP-GUARARAPES;n/d;3352;1796;n/d;n/d;5148
SP-GUARAREMA;n/d;3882;1847;n/d;n/d;5729
SP-GUARATINGUETA;n/d;16590;8998;n/d;n/d;25588
SP-GUAREI;n/d;1028;601;n/d;n/d;1629
SP-GUARIBA;n/d;4735;2006;n/d;n/d;6741
SP-GUARUJA;n/d;27998;15749;n/d;n/d;43747
SP-GUARULHOS;n/d;193762;97354;n/d;n/d;291116
SP-GUATAPARA;n/d;657;420;n/d;n/d;1077
SP-GUZOLANDIA;n/d;311;181;n/d;n/d;492
SP-HERCULANDIA;n/d;677;351;n/d;n/d;1028
SP-HOLAMBRA;n/d;3681;3022;n/d;n/d;6703
SP-HORTOLANDIA;n/d;21634;12135;n/d;n/d;33769
SP-IACANGA;n/d;1707;681;n/d;n/d;2388
SP-IACRI;n/d;465;266;n/d;n/d;731
SP-IARAS;n/d;655;408;n/d;n/d;1063
SP-IBATE;n/d;3299;1537;n/d;n/d;4836
SP-IBIRA;n/d;999;807;n/d;n/d;1806
SP-IBIRAREMA;n/d;1482;407;n/d;n/d;1889
SP-IBITINGA;n/d;8064;6296;n/d;n/d;14360
SP-IBIUNA;n/d;4942;3580;n/d;n/d;8522
SP-ICEM;n/d;695;417;n/d;n/d;1112
SP-IEPE;n/d;574;366;n/d;n/d;940
SP-IGARACU DO TIETE;n/d;1305;1085;n/d;n/d;2390
SP-IGARAPAVA;n/d;3045;1970;n/d;n/d;5015
SP-IGARATA;n/d;621;458;n/d;n/d;1079
SP-IGUAPE;n/d;1347;956;n/d;n/d;2303
SP-ILHABELA;n/d;2810;2493;n/d;n/d;5303
SP-ILHA COMPRIDA;n/d;588;452;n/d;n/d;1040
SP-ILHA SOLTEIRA;n/d;2873;1963;n/d;n/d;4836
SP-INDAIATUBA;n/d;33148;22043;n/d;n/d;55191
SP-INDIANA;n/d;377;236;n/d;n/d;613
SP-INDIAPORA;n/d;321;168;n/d;n/d;489
SP-INUBIA PAULISTA;n/d;461;290;n/d;n/d;751
SP-IPAUSSU;n/d;2042;1063;n/d;n/d;3105
