Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-ADAMANTINA;n/d;4646;4290;n/d;n/d;8936
SP-ADOLFO;n/d;490;326;n/d;n/d;816
SP-AGUAI;n/d;3947;2342;n/d;n/d;6289
SP-AGUAS DA PRATA;n/d;586;370;n/d;n/d;956
SP-AGUAS DE LINDOIA;n/d;2498;2165;n/d;n/d;4663
SP-AGUAS DE SANTA BARBARA;n/d;765;522;n/d;n/d;1287
SP-AGUAS DE SAO PEDRO;n/d;679;687;n/d;n/d;1366
SP-AGUDOS;n/d;5110;3550;n/d;n/d;8660
SP-ALAMBARI;n/d;444;378;n/d;n/d;822
SP-ALFREDO MARCONDES;n/d;544;285;n/d;n/d;829
SP-ALTAIR;n/d;500;188;n/d;n/d;688
SP-ALTINOPOLIS;n/d;2526;1330;n/d;n/d;3856
SP-ALTO ALEGRE;n/d;357;359;n/d;n/d;716
SP-ALUMINIO;n/d;5741;1382;n/d;n/d;7123
SP-ALVARES FLORENCE;n/d;616;285;n/d;n/d;901
SP-ALVARES MACHADO;n/d;1877;1428;n/d;n/d;3305
SP-ALVARO DE CARVALHO;n/d;188;171;n/d;n/d;359
SP-ALVINLANDIA;n/d;231;143;n/d;n/d;374
SP-AMERICANA;n/d;45365;36969;n/d;n/d;82334
SP-AMERICO BRASILIENSE;n/d;6391;2446;n/d;n/d;8837
SP-AMERICO DE CAMPOS;n/d;276;226;n/d;n/d;502
SP-AMPARO;n/d;14507;11080;n/d;n/d;25587
SP-ANALANDIA;n/d;658;362;n/d;n/d;1020
SP-ANDRADINA;n/d;8118;6326;n/d;n/d;14444
SP-ANGATUBA;n/d;3055;1862;n/d;n/d;4917
SP-ANHEMBI;n/d;665;297;n/d;n/d;962
SP-ANHUMAS;n/d;281;239;n/d;n/d;520
SP-APARECIDA;n/d;5715;4741;n/d;n/d;10456
SP-APARECIDA D OESTE;n/d;374;249;n/d;n/d;623
SP-APIAI;n/d;3017;2185;n/d;n/d;5202
SP-ARACARIGUAMA;n/d;5545;2651;n/d;n/d;8196
SP-ARACATUBA;n/d;31924;22910;n/d;n/d;54834
SP-ARACOIABA DA SERRA;n/d;2993;2048;n/d;n/d;5041
SP-ARAMINA;n/d;336;337;n/d;n/d;673
SP-ARANDU;n/d;866;492;n/d;n/d;1358
SP-ARAPEI;n/d;232;159;n/d;n/d;391
SP-ARARAQUARA;n/d;40676;34697;n/d;n/d;75373
SP-ARARAS;n/d;23806;14929;n/d;n/d;38735
SP-ARCO-IRIS;n/d;172;114;n/d;n/d;286
SP-AREALVA;n/d;919;637;n/d;n/d;1556
SP-AREIAS;n/d;327;177;n/d;n/d;504
SP-AREIOPOLIS;n/d;697;703;n/d;n/d;1400
SP-ARIRANHA;n/d;3535;943;n/d;n/d;4478
SP-ARTUR NOGUEIRA;n/d;5140;5899;n/d;n/d;11039
SP-ARUJA;n/d;13891;7838;n/d;n/d;21729
SP-ASPASIA;n/d;133;107;n/d;n/d;240
SP-ASSIS;n/d;13856;9925;n/d;n/d;23781
SP-ATIBAIA;n/d;21902;17304;n/d;n/d;39206
SP-AURIFLAMA;n/d;1486;1854;n/d;n/d;3340
SP-AVAI;n/d;738;898;n/d;n/d;1636
SP-AVANHANDAVA;n/d;1311;630;n/d;n/d;1941
SP-AVARE;n/d;11334;10058;n/d;n/d;21392
SP-BADY BASSITT;n/d;2298;1211;n/d;n/d;3509
SP-BALBINOS;n/d;179;207;n/d;n/d;386
SP-BALSAMO;n/d;1124;438;n/d;n/d;1562
SP-BANANAL;n/d;1294;596;n/d;n/d;1890
SP-BARAO DE ANTONINA;n/d;260;252;n/d;n/d;512
SP-BARBOSA;n/d;445;484;n/d;n/d;929
SP-BARIRI;n/d;5788;3317;n/d;n/d;9105
SP-BARRA BONITA;n/d;8723;4616;n/d;n/d;13339
SP-BARRA DO CHAPEU;n/d;398;243;n/d;n/d;641
SP-BARRA DO TURVO;n/d;346;346;n/d;n/d;692
SP-BARRETOS;n/d;18103;14872;n/d;n/d;32975
SP-BARRINHA;n/d;2400;1572;n/d;n/d;3972
SP-BARUERI;n/d;140026;118558;n/d;n/d;258584
SP-BASTOS;n/d;3776;2869;n/d;n/d;6645
