Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-ADAMANTINA;n/d;3596;2410;n/d;n/d;6006
SP-ADOLFO;n/d;466;216;n/d;n/d;682
SP-AGUAI;n/d;3024;1140;n/d;n/d;4164
SP-AGUAS DA PRATA;n/d;450;258;n/d;n/d;708
SP-AGUAS DE LINDOIA;n/d;2160;1415;n/d;n/d;3575
SP-AGUAS DE SANTA BARBARA;n/d;565;323;n/d;n/d;888
SP-AGUAS DE SAO PEDRO;n/d;557;434;n/d;n/d;991
SP-AGUDOS;n/d;3772;1458;n/d;n/d;5230
SP-ALAMBARI;n/d;250;176;n/d;n/d;426
SP-ALFREDO MARCONDES;n/d;148;100;n/d;n/d;248
SP-ALTAIR;n/d;477;120;n/d;n/d;597
SP-ALTINOPOLIS;n/d;2062;686;n/d;n/d;2748
SP-ALTO ALEGRE;n/d;377;168;n/d;n/d;545
SP-ALUMINIO;n/d;4920;684;n/d;n/d;5604
SP-ALVARES FLORENCE;n/d;404;103;n/d;n/d;507
SP-ALVARES MACHADO;n/d;1136;575;n/d;n/d;1711
SP-ALVARO DE CARVALHO;n/d;272;131;n/d;n/d;403
SP-ALVINLANDIA;n/d;327;118;n/d;n/d;445
SP-AMERICANA;n/d;34881;19428;n/d;n/d;54309
SP-AMERICO BRASILIENSE;n/d;3063;1132;n/d;n/d;4195
SP-AMERICO DE CAMPOS;n/d;334;149;n/d;n/d;483
SP-AMPARO;n/d;9146;5887;n/d;n/d;15033
SP-ANALANDIA;n/d;914;185;n/d;n/d;1099
SP-ANDRADINA;n/d;5975;3353;n/d;n/d;9328
SP-ANGATUBA;n/d;2065;904;n/d;n/d;2969
SP-ANHEMBI;n/d;378;113;n/d;n/d;491
SP-ANHUMAS;n/d;326;108;n/d;n/d;434
SP-APARECIDA;n/d;3260;2124;n/d;n/d;5384
SP-APARECIDA D OESTE;n/d;260;165;n/d;n/d;425
SP-APIAI;n/d;2002;996;n/d;n/d;2998
SP-ARACARIGUAMA;n/d;2257;801;n/d;n/d;3058
SP-ARACATUBA;n/d;18699;11703;n/d;n/d;30402
SP-ARACOIABA DA SERRA;n/d;1804;1130;n/d;n/d;2934
SP-ARAMINA;n/d;195;141;n/d;n/d;336
SP-ARANDU;n/d;677;326;n/d;n/d;1003
SP-ARAPEI;n/d;236;167;n/d;n/d;403
SP-ARARAQUARA;n/d;29338;16833;n/d;n/d;46171
SP-ARARAS;n/d;15443;8101;n/d;n/d;23544
SP-ARCO-IRIS;n/d;139;60;n/d;n/d;199
SP-AREALVA;n/d;716;321;n/d;n/d;1037
SP-AREIAS;n/d;315;119;n/d;n/d;434
SP-AREIOPOLIS;n/d;500;358;n/d;n/d;858
SP-ARIRANHA;n/d;2348;498;n/d;n/d;2846
SP-ARTUR NOGUEIRA;n/d;3233;2660;n/d;n/d;5893
SP-ARUJA;n/d;7101;2792;n/d;n/d;9893
SP-ASPASIA;n/d;138;69;n/d;n/d;207
SP-ASSIS;n/d;8636;5454;n/d;n/d;14090
SP-ATIBAIA;n/d;12483;8623;n/d;n/d;21106
SP-AURIFLAMA;n/d;1062;1111;n/d;n/d;2173
SP-AVAI;n/d;376;145;n/d;n/d;521
SP-AVANHANDAVA;n/d;778;292;n/d;n/d;1070
SP-AVARE;n/d;7184;4977;n/d;n/d;12161
SP-BADY BASSITT;n/d;1093;487;n/d;n/d;1580
SP-BALBINOS;n/d;173;83;n/d;n/d;256
SP-BALSAMO;n/d;760;225;n/d;n/d;985
SP-BANANAL;n/d;931;309;n/d;n/d;1240
SP-BARAO DE ANTONINA;n/d;88;57;n/d;n/d;145
SP-BARBOSA;n/d;367;196;n/d;n/d;563
SP-BARIRI;n/d;3451;1483;n/d;n/d;4934
SP-BARRA BONITA;n/d;8092;2926;n/d;n/d;11018
SP-BARRA DO CHAPEU;n/d;168;97;n/d;n/d;265
SP-BARRA DO TURVO;n/d;187;119;n/d;n/d;306
SP-BARRETOS;n/d;11073;7540;n/d;n/d;18613
SP-BARRINHA;n/d;1149;545;n/d;n/d;1694
SP-BARUERI;n/d;84455;61500;n/d;n/d;145955
SP-BASTOS;n/d;2994;2084;n/d;n/d;5078
SP-BATATAIS;n/d;6787;3184;n/d;n/d;9971
SP-BAURU;n/d;38990;25325;n/d;n/d;64315
SP-BEBEDOURO;n/d;12857;6034;n/d;n/d;18891
SP-BENTO DE ABREU;n/d;839;165;n/d;n/d;1004
SP-BERNARDINO DE CAMPOS;n/d;894;524;n/d;n/d;1418
SP-BERTIOGA;n/d;3681;1824;n/d;n/d;5505
SP-BILAC;n/d;726;504;n/d;n/d;1230
SP-BIRIGUI;n/d;15567;13139;n/d;n/d;28706
SP-BIRITIBA-MIRIM;n/d;1545;524;n/d;n/d;2069
SP-BOA ESPERANCA DO SUL;n/d;1687;652;n/d;n/d;2339
SP-BOCAINA;n/d;2323;687;n/d;n/d;3010
SP-BOFETE;n/d;650;276;n/d;n/d;926
SP-BOITUVA;n/d;8326;3774;n/d;n/d;12100
SP-BOM JESUS DOS PERDOES;n/d;1689;825;n/d;n/d;2514
SP-BOM SUCESSO DE ITARARE;n/d;288;72;n/d;n/d;360
SP-BORA;n/d;94;22;n/d;n/d;116
SP-BORACEIA;n/d;550;346;n/d;n/d;896
SP-BORBOREMA;n/d;1235;550;n/d;n/d;1785
SP-BOREBI;n/d;226;131;n/d;n/d;357
SP-BOTUCATU;n/d;16613;8320;n/d;n/d;24933
SP-BRAGANCA PAULISTA;n/d;13764;10212;n/d;n/d;23976
SP-BRAUNA;n/d;212;111;n/d;n/d;323
SP-BREJO ALEGRE;n/d;113;92;n/d;n/d;205
SP-BRODOWSKI;n/d;1324;999;n/d;n/d;2323
SP-BROTAS;n/d;2973;1475;n/d;n/d;4448
SP-BURI;n/d;1735;581;n/d;n/d;2316
SP-BURITAMA;n/d;935;640;n/d;n/d;1575
SP-BURITIZAL;n/d;654;129;n/d;n/d;783
SP-CABRALIA PAULISTA;n/d;477;149;n/d;n/d;626
SP-CABREUVA;n/d;4209;2302;n/d;n/d;6511
SP-CACAPAVA;n/d;8464;4106;n/d;n/d;12570
SP-CACHOEIRA PAULISTA;n/d;1737;1071;n/d;n/d;2808
SP-CACONDE;n/d;1095;459;n/d;n/d;1554
SP-CAFELANDIA;n/d;1385;533;n/d;n/d;1918
SP-CAIABU;n/d;148;125;n/d;n/d;273
SP-CAIEIRAS;n/d;7716;2812;n/d;n/d;10528
SP-CAIUA;n/d;251;107;n/d;n/d;358
SP-CAJAMAR;n/d;24331;18137;n/d;n/d;42468
SP-CAJATI;n/d;2738;861;n/d;n/d;3599
SP-CAJOBI;n/d;1120;645;n/d;n/d;1765
SP-CAJURU;n/d;1594;849;n/d;n/d;2443
SP-CAMPINA DO MONTE ALEGRE;n/d;933;653;n/d;n/d;1586
SP-CAMPINAS;n/d;151074;102334;n/d;n/d;253408
SP-CAMPO LIMPO PAULISTA;n/d;6316;2120;n/d;n/d;8436
SP-CAMPOS DO JORDAO;n/d;4632;4459;n/d;n/d;9091
SP-CAMPOS NOVOS PAULISTA;n/d;304;132;n/d;n/d;436
SP-CANANEIA;n/d;632;318;n/d;n/d;950
SP-CANAS;n/d;298;105;n/d;n/d;403
SP-CANDIDO MOTA;n/d;1852;988;n/d;n/d;2840
SP-CANDIDO RODRIGUES;n/d;168;107;n/d;n/d;275
SP-CANITAR;n/d;575;231;n/d;n/d;806
SP-CAPAO BONITO;n/d;3585;1792;n/d;n/d;5377
SP-CAPELA DO ALTO;n/d;897;441;n/d;n/d;1338
SP-CAPIVARI;n/d;5792;3166;n/d;n/d;8958
SP-CARAGUATATUBA;n/d;5655;4346;n/d;n/d;10001
SP-CARAPICUIBA;n/d;14133;7908;n/d;n/d;22041
SP-CARDOSO;n/d;599;322;n/d;n/d;921
SP-CASA BRANCA;n/d;3055;1222;n/d;n/d;4277
SP-CASSIA DOS COQUEIROS;n/d;200;147;n/d;n/d;347
SP-CASTILHO;n/d;1302;497;n/d;n/d;1799
SP-CATANDUVA;n/d;16314;9415;n/d;n/d;25729
SP-CATIGUA;n/d;1249;227;n/d;n/d;1476
SP-CEDRAL;n/d;557;255;n/d;n/d;812
SP-CERQUEIRA CESAR;n/d;1548;768;n/d;n/d;2316
